Ground,City,Country,Matches,RPW
Maharashtra Cricket Association Stadium,Pune,India,12,38.71
Moin-ul-Haq Stadium,Patna,India,3,23.15
Moti Bagh Stadium,Vadodara (Baroda),India,3,33.34
Nahar Singh Stadium,Faridabad,India,8,28.75
Narendra Modi Stadium,Ahmedabad,India,32,31.66
Nehru Stadium (Guwahati),Guwahati,India,14,28.69
Nehru Stadium (Indore),Indore,India,9,34.29
Nehru Stadium (Kochi),Kochi,India,9,32.81
Nehru Stadium (Margao),Margao,India,7,30.43
Nehru Stadium (Pune),Pune,India,11,32.38
Punjab Cricket Association IS Bindra Stadium,"Mohali, Chandigarh",India,26,32.88
Rajiv Gandhi International Cricket Stadium,Dehra Dun,India,5,27.82
Rajiv Gandhi International Stadium,Hyderabad,India,10,35.99
Reliance Stadium,Vadodara,India,10,40.46
Sardar Vallabhai Patel Stadium,Ahmedabad,India,1,26.33
Saurashtra Cricket Association Stadium,"Khandheri, Rajkot",India,5,43.7
Sawai Mansingh Stadium,Jaipur,India,19,36.29
Sector 16 Stadium,Chandigarh,India,5,35.07
Shaheed Veer Narayan Sing International Stadium,Raipur,India,2,40.83
Sher-I-Kashmir Stadium,Srinagar,India,2,29.28
University Stadium,Thiruvananthapuram,India,2,34.2
Vidarbha Cricket Association Ground,Nagpur,India,14,36.57
Vidarbha Cricket Association Stadium,Nagpur,India,10,36.53
Wankhede Stadium,Mumbai,India,28,32.56
Bready Cricket Club,Bready,Ireland,1,34.13
Castle Avenue,Dublin,Ireland,28,28.95
Civil Service Cricket Club,Belfast,Ireland,34,26.08
The Village,Dublin,Ireland,22,35.1
AMI Stadium,Christchurch,New Zealand,48,29.65
Basin Reserve,Wellington,New Zealand,31,26.85
Bay Oval,Mount Maunganui,New Zealand,13,34.4
Bert Sutcliffe Oval,Lincoln,New Zealand,2,40.77
Carisbrook,Dunedin,New Zealand,21,27.73
Cobham Oval (New),Whangarei,New Zealand,2,39.29
Eden Park,Auckland,New Zealand,80,28.3
Hagley Oval,Christchurch,New Zealand,17,31.82
McLean Park,Napier,New Zealand,47,31.33
Owen Delany Park,Taupo,New Zealand,3,33.83
Pukekura Park,New Plymouth,New Zealand,1,56.82
Queenstown Events Centre,Queenstown,New Zealand,9,28.27
Saxton Oval,Nelson,New Zealand,12,40.35
Seddon Park,Hamilton,New Zealand,43,32.66
Sky Stadium,Wellington,New Zealand,32,29.77
University Oval,Dunedin,New Zealand,12,27.31
Arbab Niaz Stadium,Peshawar,Pakistan,15,29.99
Ayub National Stadium,Quetta,Pakistan,2,21.5
Bugti Stadium,Quetta,Pakistan,1,29.75
Gaddafi Stadium,Lahore,Pakistan,73,34.7
Ibn-e-Qasim Bagh Stadium,Multan,Pakistan,6,29.72
Iqbal Stadium,Faisalabad (Lyallpur),Pakistan,19,30.48
Jinnah Stadium (Gujwranwala),Gujwranwala,Pakistan,11,31.34
Jinnah Stadium (Sialkot),Sialkot,Pakistan,9,25.96
Multan Cricket Stadium,Multan,Pakistan,11,30.65
National Stadium (Karachi),Karachi,Pakistan,59,35.63
Niaz Stadium,Hyderabad (Sind),Pakistan,7,28.66
Pindi Club Ground,Rawalpindi,Pakistan,2,28.73
Rawalpindi Cricket Stadium,Rawalpindi,Pakistan,30,34.69
Sheikhupura Stadium,Sheikhupura,Pakistan,2,29.3
Sports Stadium,Sargodha,Pakistan,1,39
Zafar Ali (Sahiwal) Stadium,Sahiwal,Pakistan,2,36.73
Boland Park,Paarl,South Africa,17,29.85
Buffalo Park,East London,South Africa,23,30.02
City Oval,Pietermaritzburg,South Africa,2,31.41
Diamond Oval,Kimberley,South Africa,15,34.49
Kingsmead,Durban,South Africa,47,29.41
Mangaung Oval,Bloemfontein,South Africa,34,33.27
Newlands,Cape Town,South Africa,45,27.69
Senwes Park,Potchefstroom,South Africa,21,34.49
St George's Park,Port Elizabeth,South Africa,43,29.49
SuperSport Park,Centurion,South Africa,60,32.48
Wanderers Stadium,Johannesburg,South Africa,55,32.15
Willowmoore Park,Benoni,South Africa,22,30.96
Asgiriya Stadium,Kandy,Sri Lanka,6,34.03
Galle International Stadium,Galle,Sri Lanka,6,30.21
Mahinda Rajapaksha International Cricket Stadium,Hambantota,Sri Lanka,26,32.85
P Sara Oval,Colombo,Sri Lanka,12,28.46
Pallekele International Cricket Stadium,"Pallekele, Kandy",Sri Lanka,45,32.1
R Premadasa Stadium,Colombo,Sri Lanka,160,29.23
Rangiri Dambulla International Stadium,Dambulla,Sri Lanka,56,26.62
Sinhalese Sports Club Ground,Colombo,Sri Lanka,61,28.11
Tyronne Fernando Stadium,Moratuwa,Sri Lanka,6,21.06
Albion Sports Complex,"Albion, Berbice, Guyana",West Indies,5,32.1
Antigua Recreation Ground,"St. John's, Antigua",West Indies,11,30.94
Arnos Vale Ground,"Kingstown, St. Vincent",West Indies,23,22.66
Bourda,"Georgetown, Guyana",West Indies,11,33.72
Brian Lara Stadium,"Tarouba, Trinidad",West Indies,4,31.16
Daren Sammy Cricket Ground,"Gros Islet, St Lucia",West Indies,30,32.44
Kensington Oval,"Bridgetown, Barbados",West Indies,49,29.72
Mindoo Philip Park,"Castries, St. Lucia",West Indies,2,23.1
National Cricket Stadium (Grenada),"St. George's, Grenada",West Indies,24,33.53
Providence Stadium,"Providence, Guyana",West Indies,25,27.44
Queen's Park (Old),"St. George's, Grenada",West Indies,1,25.62
Queen's Park Oval,"Port-Of-Spain, Trinidad",West Indies,73,29.94
Sabina Park,"Kingston, Jamaica",West Indies,40,30.32
Sir Vivian Richards Stadium,"North Sound, Antigua",West Indies,24,32.83
Warner Park,"Basseterre, St Kitts",West Indies,21,34.56
Windsor Park,"Roseau, Dominica",West Indies,4,32.43
Bulawayo Athletic Club,Bulawayo,Zimbabwe,9,30.39
Harare Sports Club,Harare,Zimbabwe,191,29.76
Kwekwe Sports Club,Kwekwe,Zimbabwe,1,45.4
Old Hararians Sports Club,Harare,Zimbabwe,5,28.75
Queens Sports Club,Bulawayo,Zimbabwe,93,31.25
Takashinga Sports Club,Harare,Zimbabwe,9,33.02
