Ground,City,Country,Matches,RPO
Holkar Cricket Stadium,Indore,India,4,9.85
JSCA International Stadium Complex,Ranchi,India,4,7.98
M Chinnaswamy Stadium,"Bengaluru, Bangalore",India,10,8.14
MA Chidambaram Stadium,Chennai,India,10,9.16
Maharaja Yadavindra Singh International Cricket St,New Chandigarh,India,1,9.57
Maharashtra Cricket Association Stadium,Pune,India,5,8.35
Narendra Modi Stadium,Ahmedabad,India,15,9.23
Punjab Cricket Association IS Bindra Stadium,"Mohali, Chandigarh",India,7,9.03
Rajiv Gandhi International Cricket Stadium,Dehra Dun,India,3,9.45
Rajiv Gandhi International Stadium,Hyderabad,India,6,8.87
Saurashtra Cricket Association Stadium,"Khandheri, Rajkot",India,6,8.74
Sawai Mansingh Stadium,Jaipur,India,1,8.32
Shaheed Veer Narayan Sing International Stadium,Raipur,India,2,9.89
Shrimant Madhavrao Scindia Cricket Stadium,Gwalior,India,1,8.18
Vidarbha Cricket Association Stadium,Nagpur,India,14,7.66
Wankhede Stadium,Mumbai,India,17,9.34
Bready Cricket Club,Bready,Ireland,13,8.35
Castle Avenue,Dublin,Ireland,6,8.25
Civil Service Cricket Club,Belfast,Ireland,27,6.7
The Village,Dublin,Ireland,20,8.44
AMI Stadium,Christchurch,New Zealand,4,8.76
Bay Oval,Mount Maunganui,New Zealand,19,8.58
Eden Park,Auckland,New Zealand,33,8.94
Hagley Oval,Christchurch,New Zealand,15,8.09
McLean Park,Napier,New Zealand,6,8.63
Queenstown Events Centre,Queenstown,New Zealand,1,9.16
Saxton Oval,Nelson,New Zealand,5,8.98
Seddon Park,Hamilton,New Zealand,14,8.9
Sky Stadium,Wellington,New Zealand,18,8.23
University Oval,Dunedin,New Zealand,5,9.52
Gaddafi Stadium,Lahore,Pakistan,31,8.32
National Stadium (Karachi),Karachi,Pakistan,11,8.81
Rawalpindi Cricket Stadium,Rawalpindi,Pakistan,16,7.91
Boland Park,Paarl,South Africa,2,8.27
Buffalo Park,East London,South Africa,3,8.44
Diamond Oval,Kimberley,South Africa,1,9.5
Kingsmead,Durban,South Africa,20,8.46
Mangaung Oval,Bloemfontein,South Africa,2,9.32
Moses Mabhida Stadium,Durban,South Africa,1,7.88
Newlands,Cape Town,South Africa,21,7.99
Senwes Park,Potchefstroom,South Africa,2,8.52
St George's Park,Port Elizabeth,South Africa,5,7.61
SuperSport Park,Centurion,South Africa,17,9.76
Wanderers Stadium,Johannesburg,South Africa,35,8.79
Willowmoore Park,Benoni,South Africa,46,6.25
Mahinda Rajapaksha International Cricket Stadium,Hambantota,Sri Lanka,7,6.84
P Sara Oval,Colombo,Sri Lanka,2,5
Pallekele International Cricket Stadium,"Pallekele, Kandy",Sri Lanka,36,8.38
R Premadasa Stadium,Colombo,Sri Lanka,56,7.64
Rangiri Dambulla International Stadium,Dambulla,Sri Lanka,11,8.18
Sinhalese Sports Club Ground,Colombo,Sri Lanka,7,8.03
Arnos Vale Ground,"Kingstown, St. Vincent",West Indies,10,6.63
Brian Lara Stadium,"Tarouba, Trinidad",West Indies,12,7.56
Coolidge Cricket Ground,Coolidge,West Indies,15,7.09
Daren Sammy Cricket Ground,"Gros Islet, St Lucia",West Indies,27,8.41
Kensington Oval,"Bridgetown, Barbados",West Indies,35,7.98
National Cricket Stadium (Grenada),"St. George's, Grenada",West Indies,8,8.88
Providence Stadium,"Providence, Guyana",West Indies,19,7.1
Queen's Park Oval,"Port-Of-Spain, Trinidad",West Indies,6,6.57
Sabina Park,"Kingston, Jamaica",West Indies,11,8.39
Sir Vivian Richards Stadium,"North Sound, Antigua",West Indies,21,7.31
Warner Park,"Basseterre, St Kitts",West Indies,15,8.11
Windsor Park,"Roseau, Dominica",West Indies,4,7.96
Bulawayo Athletic Club,Bulawayo,Zimbabwe,10,7.36
Harare Sports Club,Harare,Zimbabwe,75,7.76
Queens Sports Club,Bulawayo,Zimbabwe,25,7.52
Takashinga Sports Club,Harare,Zimbabwe,10,6.79
