Date,Series,Venue,Toss_Winner,Toss_Decision,1st_Inn_Runs,1st_Inn_Wkts,2nd_Inn_Runs,2nd_Inn_Wkts,3rd_Inn_Runs,3rd_Inn_Wkts,4th_Inn_Runs,4th_Inn_Wkts,Result,POM,Format,Search_Field,Toss_Enc,Venue_Enc
25/10/18,BAN v WI,Shere Bangla National Stadium,Bangladesh,Bat,288,6,214,10,0,0,0,0,BAN (74 runs),Mushfiqur Rahim,ODI,BAN V WI BANGLADESH BAN (74 RUNS),2,115
25/10/21,BAN v WI,Shere Bangla National Stadium,West Indies,Bowl,240,8,240,10,0,0,0,0,WI (Super Over),Nicholas Pooran,ODI,BAN V WI WEST INDIES WI (SUPER OVER),25,115
25/10/23,BAN v WI,Shere Bangla National Stadium,Bangladesh,Bat,342,5,163,10,0,0,0,0,BAN (179 runs),Towhid Hridoy,ODI,BAN V WI BANGLADESH BAN (179 RUNS),2,115
26/03/11,BAN v PAK,Shere Bangla National Stadium,Pakistan,Bat,215,10,218,2,0,0,0,0,BAN (8 wkts),Mustafizur Rahman,ODI,BAN V PAK PAKISTAN BAN (8 WKTS),15,115
26/03/13,BAN v PAK,Shere Bangla National Stadium,Bangladesh,Bowl,312,6,184,10,0,0,0,0,PAK (128 runs),Babar Azam,ODI,BAN V PAK BANGLADESH PAK (128 RUNS),2,115
26/03/15,BAN v PAK,Shere Bangla National Stadium,Bangladesh,Bat,268,9,257,10,0,0,0,0,BAN (11 runs),Shakib Al Hasan,ODI,BAN V PAK BANGLADESH BAN (11 RUNS),2,115
26/04/17,BAN v NZ,Shere Bangla National Stadium,New Zealand,Bat,275,7,249,10,0,0,0,0,NZ (26 runs),Kane Williamson,ODI,BAN V NZ NEW ZEALAND NZ (26 RUNS),13,115
26/04/20,BAN v NZ,Shere Bangla National Stadium,Bangladesh,Bowl,224,10,228,4,0,0,0,0,BAN (6 wkts),Mehidy Hasan,ODI,BAN V NZ BANGLADESH BAN (6 WKTS),2,115
26/04/23,BAN v NZ,BSF Lieutenant Matiur Rahman Stadium,Bangladesh,Bat,291,6,236,10,0,0,0,0,BAN (55 runs),Litton Das,ODI,BAN V NZ BANGLADESH BAN (55 RUNS),2,7
24/09/19,ENG v AUS,Trent Bridge,England,Bat,315,10,317,3,0,0,0,0,AUS (7 wkts),Travis Head,ODI,ENG V AUS ENGLAND AUS (7 WKTS),4,136
24/09/21,ENG v AUS,Headingley,England,Bowl,270,10,202,10,0,0,0,0,AUS (68 runs),Alex Carey,ODI,ENG V AUS ENGLAND AUS (68 RUNS),4,48
24/09/24,ENG v AUS,Riverside Ground,Australia,Bowl,304,7,226,2,0,0,0,0,ENG (46 runs*),Harry Brook,ODI,ENG V AUS AUSTRALIA ENG (46 RUNS*),1,102
24/09/27,ENG v AUS,Lord's Cricket Ground,Australia,Bowl,312,5,126,10,0,0,0,0,ENG (186 runs),Liam Livingstone,ODI,ENG V AUS AUSTRALIA ENG (186 RUNS),1,59
24/09/29,ENG v AUS,County Ground (Bristol),Australia,Bowl,309,10,165,2,0,0,0,0,AUS (49 runs*),Travis Head,ODI,ENG V AUS AUSTRALIA AUS (49 RUNS*),1,25
24/10/31,WI v ENG,Sir Vivian Richards Stadium,West Indies,Bowl,209,10,210,2,0,0,0,0,WI (8 wkts),Gudakesh Motie,ODI,WI V ENG WEST INDIES WI (8 WKTS),25,122
24/11/02,WI v ENG,Sir Vivian Richards Stadium,England,Bowl,328,6,329,5,0,0,0,0,ENG (5 wkts),Liam Livingstone,ODI,WI V ENG ENGLAND ENG (5 WKTS),4,122
24/11/06,WI v ENG,Kensington Oval,West Indies,Bowl,263,8,267,2,0,0,0,0,WI (8 wkts),Brandon King,ODI,WI V ENG WEST INDIES WI (8 WKTS),25,55
25/02/06,IND v ENG,Vidarbha Cricket Association Stadium,England,Bat,252,9,253,6,0,0,0,0,IND (4 wkts),Shubman Gill,ODI,IND V ENG ENGLAND IND (4 WKTS),4,139
25/02/09,IND v ENG,Barabati Stadium,India,Bowl,288,7,289,6,0,0,0,0,IND (4 wkts),Virat Kohli,ODI,IND V ENG INDIA IND (4 WKTS),6,8
25/02/12,IND v ENG,Narendra Modi Stadium,England,Bowl,342,5,200,10,0,0,0,0,IND (142 runs),Rohit Sharma,ODI,IND V ENG ENGLAND IND (142 RUNS),4,73
25/02/22,ICC CT (AUS),Gaddafi Stadium,Australia,Bowl,240,10,241,5,0,0,0,0,AUS (5 wkts),Mitchell Marsh,ODI,ICC CT (AUS) AUSTRALIA AUS (5 WKTS),1,36
25/02/26,ICC CT (AFG),Gaddafi Stadium,England,Bowl,265,9,257,10,0,0,0,0,AFG (8 runs),Fazalhaq Farooqi,ODI,ICC CT (AFG) ENGLAND AFG (8 RUNS),4,36
25/03/01,ICC CT (SA),National Stadium (Karachi),South Africa,Bowl,220,10,221,3,0,0,0,0,SA (7 wkts),Heinrich Klaasen,ODI,ICC CT (SA) SOUTH AFRICA SA (7 WKTS),20,78
25/05/29,ENG v WI,Edgbaston Cricket Ground,West Indies,Bowl,362,4,124,10,0,0,0,0,ENG (238 runs),Jos Buttler,ODI,ENG V WI WEST INDIES ENG (238 RUNS),25,35
25/06/01,ENG v WI,Sophia Gardens,England,Bowl,215,10,216,7,0,0,0,0,ENG (3 wkts),Adil Rashid,ODI,ENG V WI ENGLAND ENG (3 WKTS),4,124
25/06/03,ENG v WI,Kennington Oval,England,Bowl,192,10,193,3,0,0,0,0,ENG (7 wkts),Jofra Archer,ODI,ENG V WI ENGLAND ENG (7 WKTS),4,54
25/09/02,ENG v SA,Headingley,South Africa,Bowl,244,10,248,3,0,0,0,0,SA (7 wkts),David Miller,ODI,ENG V SA SOUTH AFRICA SA (7 WKTS),20,48
25/09/04,ENG v SA,Lord's Cricket Ground,England,Bat,285,8,280,10,0,0,0,0,SA (5 runs),Kagiso Rabada,ODI,ENG V SA ENGLAND SA (5 RUNS),4,59
25/09/07,ENG v SA,The Rose Bowl,South Africa,Bowl,422,5,80,10,0,0,0,0,ENG (342 runs),Harry Brook,ODI,ENG V SA SOUTH AFRICA ENG (342 RUNS),20,132
25/10/26,NZ v ENG,Bay Oval,New Zealand,Bowl,238,10,242,6,0,0,0,0,NZ (4 wkts),Rachin Ravindra,ODI,NZ V ENG NEW ZEALAND NZ (4 WKTS),13,11
25/10/29,NZ v ENG,Seddon Park,New Zealand,Bowl,212,10,213,5,0,0,0,0,NZ (5 wkts),Glenn Phillips,ODI,NZ V ENG NEW ZEALAND NZ (5 WKTS),13,109
25/11/01,NZ v ENG,Sky Stadium,England,Bat,265,8,266,8,0,0,0,0,NZ (2 wkts),Mitchell Santner,ODI,NZ V ENG ENGLAND NZ (2 WKTS),4,123
26/01/22,SL v ENG,R. Premadasa International Cricket Stadium,Sri Lanka,Bat,271,6,252,10,0,0,0,0,SL (19 runs),Dunith Wellalage,ODI,SL V ENG SRI LANKA SL (19 RUNS),21,93
26/01/24,SL v ENG,R. Premadasa International Cricket Stadium,Sri Lanka,Bat,210,10,214,5,0,0,0,0,ENG (5 wkts),Adil Rashid,ODI,SL V ENG SRI LANKA ENG (5 WKTS),21,93
26/01/27,SL v ENG,R. Premadasa International Cricket Stadium,England,Bat,305,7,252,10,0,0,0,0,ENG (53 runs),Jos Buttler,ODI,SL V ENG ENGLAND ENG (53 RUNS),4,93
24/08/02,SL v IND,R. Premadasa Stadium,Sri Lanka,Bat,230,8,230,10,0,0,0,0,Match Tied,D. Wellalage,ODI,SL V IND SRI LANKA MATCH TIED,21,94
24/08/04,SL v IND,R. Premadasa Stadium,Sri Lanka,Bat,240,9,208,10,0,0,0,0,SL (32 runs),J. Vandersay,ODI,SL V IND SRI LANKA SL (32 RUNS),21,94
24/08/07,SL v IND,R. Premadasa Stadium,Sri Lanka,Bat,248,7,138,10,0,0,0,0,SL (110 runs),D. Wellalage,ODI,SL V IND SRI LANKA SL (110 RUNS),21,94
25/02/06,IND v ENG,Vidarbha Cricket Association Stadium,England,Bat,252,9,253,6,0,0,0,0,IND (4 wkts),Shubman Gill,ODI,IND V ENG ENGLAND IND (4 WKTS),4,139
25/02/09,IND v ENG,Barabati Stadium,India,Bowl,288,7,289,6,0,0,0,0,IND (4 wkts),Virat Kohli,ODI,IND V ENG INDIA IND (4 WKTS),6,8
25/02/12,IND v ENG,Narendra Modi Stadium,England,Bowl,342,5,200,10,0,0,0,0,IND (142 runs),Rohit Sharma,ODI,IND V ENG ENGLAND IND (142 RUNS),4,73
25/02/20,ICC CT (v BAN),Dubai International Cricket Stadium,India,Bowl,198,10,201,4,0,0,0,0,IND (6 wkts),Jasprit Bumrah,ODI,ICC CT (V BAN) INDIA IND (6 WKTS),6,30
25/02/23,ICC CT (v PAK),Dubai International Cricket Stadium,Pakistan,Bat,262,8,263,4,0,0,0,0,IND (6 wkts),Ravindra Jadeja,ODI,ICC CT (V PAK) PAKISTAN IND (6 WKTS),15,30
25/03/02,ICC CT (v NZ),Dubai International Cricket Stadium,India,Bat,291,6,247,10,0,0,0,0,IND (44 runs),KL Rahul,ODI,ICC CT (V NZ) INDIA IND (44 RUNS),6,30
25/03/04,ICC CT (v AUS),Dubai International Cricket Stadium,Australia,Bat,258,8,259,6,0,0,0,0,IND (4 wkts),Virat Kohli,ODI,ICC CT (V AUS) AUSTRALIA IND (4 WKTS),1,30
25/03/09,ICC CT Final (v NZ),Dubai International Cricket Stadium,New Zealand,Bat,224,10,225,6,0,0,0,0,IND (4 wkts),Mohammed Shami,ODI,ICC CT FINAL (V NZ) NEW ZEALAND IND (4 WKTS),13,30
25/10/19,AUS v IND,Perth Stadium,Australia,Bowl,136,9,131,3,0,0,0,0,AUS (7 wkts),Mitchell Marsh,ODI,AUS V IND AUSTRALIA AUS (7 WKTS),1,87
25/10/23,AUS v IND,Adelaide Oval,India,Bat,244,10,245,8,0,0,0,0,AUS (2 wkts),Glenn Maxwell,ODI,AUS V IND INDIA AUS (2 WKTS),6,2
25/10/25,AUS v IND,Sydney Cricket Ground,India,Bat,321,4,212,10,0,0,0,0,IND (9 wkts*),Rohit Sharma,ODI,AUS V IND INDIA IND (9 WKTS*),6,128
25/11/30,IND v SA,JSCA Intl Stadium Complex,India,Bat,285,6,268,10,0,0,0,0,IND (17 runs),Hardik Pandya,ODI,IND V SA INDIA IND (17 RUNS),6,51
25/12/03,IND v SA,Shaheed Veer Narayan Singh Stadium,South Africa,Bowl,214,10,215,6,0,0,0,0,SA (4 wkts),David Miller,ODI,IND V SA SOUTH AFRICA SA (4 WKTS),20,110
25/12/06,IND v SA,Dr YS Rajasekhara Reddy Stadium,India,Bowl,182,10,185,1,0,0,0,0,IND (9 wkts),Kuldeep Yadav,ODI,IND V SA INDIA IND (9 WKTS),6,28
26/01/11,IND v NZ,Kotambi Stadium,India,Bowl,300,8,306,6,0,0,0,0,IND (4 wkts),Rishabh Pant,ODI,IND V NZ INDIA IND (4 WKTS),6,57
26/01/14,IND v NZ,Saurashtra Cricket Association Stadium,New Zealand,Bat,284,7,286,3,0,0,0,0,NZ (7 wkts*),Rachin Ravindra,ODI,IND V NZ NEW ZEALAND NZ (7 WKTS*),13,107
26/01/18,IND v NZ,Holkar Cricket Stadium,New Zealand,Bat,337,8,296,10,0,0,0,0,NZ (41 runs),Mitchell Santner,ODI,IND V NZ NEW ZEALAND NZ (41 RUNS),13,49
24/03/07,AFG v IRE,Sharjah Cricket Stadium,Ireland,Bowl,310,5,275,8,0,0,0,0,AFG (35 runs),Rahmanullah Gurbaz,ODI,AFG V IRE IRELAND AFG (35 RUNS),7,112
24/03/12,AFG v IRE,Sharjah Cricket Stadium,Ireland,Bowl,236,9,119,10,0,0,0,0,AFG (117 runs),Mohammad Nabi,ODI,AFG V IRE IRELAND AFG (117 RUNS),7,112
24/10/02,IRE v SA,Sheikh Zayed Stadium,South Africa,Bat,271,9,132,10,0,0,0,0,SA (139 runs),Ryan Rickelton,ODI,IRE V SA SOUTH AFRICA SA (139 RUNS),20,114
24/10/04,IRE v SA,Sheikh Zayed Stadium,South Africa,Bat,343,4,169,9,0,0,0,0,SA (174 runs),Tristan Stubbs,ODI,IRE V SA SOUTH AFRICA SA (174 RUNS),20,114
24/10/07,IRE v SA,Sheikh Zayed Stadium,Ireland,Bat,284,9,215,10,0,0,0,0,IRE (69 runs),Paul Stirling,ODI,IRE V SA IRELAND IRE (69 RUNS),7,114
25/02/14,ZIM v IRE,Harare Sports Club,Zimbabwe,Bat,268,8,219,10,0,0,0,0,ZIM (49 runs),Sikandar Raza,ODI,ZIM V IRE ZIMBABWE ZIM (49 RUNS),26,46
25/02/16,ZIM v IRE,Harare Sports Club,Ireland,Bowl,194,10,197,4,0,0,0,0,IRE (6 wkts),Josh Little,ODI,ZIM V IRE IRELAND IRE (6 WKTS),7,46
25/02/18,ZIM v IRE,Harare Sports Club,Zimbabwe,Bowl,162,10,165,1,0,0,0,0,ZIM (9 wkts),Richard Ngarava,ODI,ZIM V IRE ZIMBABWE ZIM (9 WKTS),26,46
25/05/21,IRE v WI,Castle Avenue,Ireland,Bat,302,7,178,10,0,0,0,0,IRE (124 runs),Harry Tector,ODI,IRE V WI IRELAND IRE (124 RUNS),7,19
25/05/23,IRE v WI,Castle Avenue,West Indies,Bowl,48,2,0,0,0,0,0,0,No Result,,ODI,IRE V WI WEST INDIES NO RESULT,25,19
25/05/25,IRE v WI,Castle Avenue,West Indies,Bat,341,5,144,10,0,0,0,0,WI (197 runs),Shai Hope,ODI,IRE V WI WEST INDIES WI (197 RUNS),25,19
24/11/13,SL v NZ,Rangiri Dambulla International Stadium,Sri Lanka,Bat,324,5,209,9,0,0,0,0,SL (45 runs*),Kusal Mendis,ODI,SL V NZ SRI LANKA SL (45 RUNS*),21,98
24/11/17,SL v NZ,Pallekele International Cricket Stadium,Sri Lanka,Bowl,209,10,210,7,0,0,0,0,SL (3 wkts),Kusal Mendis,ODI,SL V NZ SRI LANKA SL (3 WKTS),21,83
24/11/19,SL v NZ,Pallekele International Cricket Stadium,New Zealand,Bat,112,1,0,0,0,0,0,0,No Result,,ODI,SL V NZ NEW ZEALAND NO RESULT,13,83
25/01/05,NZ v SL,Basin Reserve,New Zealand,Bowl,178,10,180,1,0,0,0,0,NZ (9 wkts),Will Young,ODI,NZ V SL NEW ZEALAND NZ (9 WKTS),13,10
25/01/08,NZ v SL,Seddon Park,Sri Lanka,Bowl,255,9,142,10,0,0,0,0,NZ (113 runs),Matt Henry,ODI,NZ V SL SRI LANKA NZ (113 RUNS),21,109
25/01/11,NZ v SL,Eden Park,Sri Lanka,Bat,290,8,150,10,0,0,0,0,SL (140 runs),Asitha Fernando,ODI,NZ V SL SRI LANKA SL (140 RUNS),21,33
25/02/08,PAK Tri-Series,Gaddafi Stadium,New Zealand,Bat,282,7,204,10,0,0,0,0,NZ (78 runs),Kane Williamson,ODI,PAK TRI-SERIES NEW ZEALAND NZ (78 RUNS),13,36
25/02/10,PAK Tri-Series,Gaddafi Stadium,South Africa,Bat,210,9,211,4,0,0,0,0,NZ (6 wkts),Mitchell Santner,ODI,PAK TRI-SERIES SOUTH AFRICA NZ (6 WKTS),20,36
25/02/14,PAK Tri-Series Final,National Stadium (Karachi),Pakistan,Bat,234,10,235,5,0,0,0,0,NZ (5 wkts),Tom Latham,ODI,PAK TRI-SERIES FINAL PAKISTAN NZ (5 WKTS),15,78
