Player,Ct Fi,Inns,Team,Opposition,Ground,Match Date,Scorecard
JDF Vandersay,1,1,Sri Lanka,v England,Colombo (RPS),27-Jan-26,ODI # 4942
DN Wellalage,1,1,Sri Lanka,v England,Colombo (RPS),27-Jan-26,ODI # 4942
Rehan Ahmed,1,2,England,v Sri Lanka,Colombo (RPS),27-Jan-26,ODI # 4942
SM Curran,1,2,England,v Sri Lanka,Colombo (RPS),27-Jan-26,ODI # 4942
BM Duckett,1,2,England,v Sri Lanka,Colombo (RPS),27-Jan-26,ODI # 4942
WG Jacks,1,2,England,v Sri Lanka,Colombo (RPS),27-Jan-26,ODI # 4942
Afif Hossain,1,1,Bangladesh,v Pakistan,Mirpur,11-Mar-26,ODI # 4943
Najmul Hossain Shanto,1,1,Bangladesh,v Pakistan,Mirpur,11-Mar-26,ODI # 4943
Saif Hassan,1,1,Bangladesh,v Pakistan,Mirpur,11-Mar-26,ODI # 4943
Tanzid Hasan,1,1,Bangladesh,v Pakistan,Mirpur,11-Mar-26,ODI # 4943
Taskin Ahmed,1,1,Bangladesh,v Pakistan,Mirpur,11-Mar-26,ODI # 4943
Shamyl Hussain,1,2,Pakistan,v Bangladesh,Mirpur,11-Mar-26,ODI # 4943
Afif Hossain,1,1,Bangladesh,v Pakistan,Mirpur,13-Mar-26,ODI # 4944
Mustafizur Rahman,1,1,Bangladesh,v Pakistan,Mirpur,13-Mar-26,ODI # 4944
Rishad Hossain,1,1,Bangladesh,v Pakistan,Mirpur,13-Mar-26,ODI # 4944
Saif Hassan,1,1,Bangladesh,v Pakistan,Mirpur,13-Mar-26,ODI # 4944
Towhid Hridoy,1,1,Bangladesh,v Pakistan,Mirpur,13-Mar-26,ODI # 4944
Abdul Samad,1,2,Pakistan,v Bangladesh,Mirpur,13-Mar-26,ODI # 4944
Salman Agha,1,2,Pakistan,v Bangladesh,Mirpur,13-Mar-26,ODI # 4944
Shaheen Shah Afridi,1,2,Pakistan,v Bangladesh,Mirpur,13-Mar-26,ODI # 4944
Ghazi Ghori,1,1,Pakistan,v Bangladesh,Mirpur,15-Mar-26,ODI # 4945
Shaheen Shah Afridi,1,1,Pakistan,v Bangladesh,Mirpur,15-Mar-26,ODI # 4945
Mehidy Hasan Miraz,1,2,Bangladesh,v Pakistan,Mirpur,15-Mar-26,ODI # 4945
Najmul Hossain Shanto,1,2,Bangladesh,v Pakistan,Mirpur,15-Mar-26,ODI # 4945
Hammad Mirza,1,1,Oman,v Namibia,Windhoek,04-Apr-26,ODI # 4946
Jatinder Singh,1,1,Oman,v Namibia,Windhoek,04-Apr-26,ODI # 4946
PD Machhi,1,1,Oman,v Namibia,Windhoek,04-Apr-26,ODI # 4946
Mujibur Ali,1,1,Oman,v Namibia,Windhoek,04-Apr-26,ODI # 4946
JT Brassell,1,2,Namibia,v Oman,Windhoek,04-Apr-26,ODI # 4946
MG Erasmus,1,2,Namibia,v Oman,Windhoek,04-Apr-26,ODI # 4946
JN Frylinck,1,2,Namibia,v Oman,Windhoek,04-Apr-26,ODI # 4946
MB Kruger,1,2,Namibia,v Oman,Windhoek,04-Apr-26,ODI # 4946
DO Leicher,1,2,Namibia,v Oman,Windhoek,04-Apr-26,ODI # 4946
HG Munsey,1,1,Scotland,v Namibia,Windhoek,06-Apr-26,ODI # 4947
MW Jones,1,1,Scotland,v Oman,Windhoek,08-Apr-26,ODI # 4948
FDW McCreath,1,1,Scotland,v Oman,Windhoek,08-Apr-26,ODI # 4948
B McMullen,1,1,Scotland,v Oman,Windhoek,08-Apr-26,ODI # 4948
MRJ Watt,1,1,Scotland,v Oman,Windhoek,08-Apr-26,ODI # 4948
Shakeel Ahmed,1,2,Oman,v Scotland,Windhoek,08-Apr-26,ODI # 4948
V Shukla,1,2,Oman,v Scotland,Windhoek,08-Apr-26,ODI # 4948
Wasim Ali,1,2,Oman,v Scotland,Windhoek,08-Apr-26,ODI # 4948
WP Myburgh,1,1,Namibia,v Oman,Windhoek,10-Apr-26,ODI # 4949
L Steenkamp,1,1,Namibia,v Oman,Windhoek,10-Apr-26,ODI # 4949
Mujibur Ali,1,2,Oman,v Namibia,Windhoek,10-Apr-26,ODI # 4949
Shakeel Ahmed,1,2,Oman,v Namibia,Windhoek,10-Apr-26,ODI # 4949
Wasim Ali,1,2,Oman,v Namibia,Windhoek,10-Apr-26,ODI # 4949
RD Berrington,1,1,Scotland,v Namibia,Windhoek,12-Apr-26,ODI # 4950
JJ Davidson,1,1,Scotland,v Namibia,Windhoek,12-Apr-26,ODI # 4950
J Jarvis,1,1,Scotland,v Namibia,Windhoek,12-Apr-26,ODI # 4950
MA Leask,1,1,Scotland,v Namibia,Windhoek,12-Apr-26,ODI # 4950
CM McBride,1,1,Scotland,v Namibia,Windhoek,12-Apr-26,ODI # 4950
B McMullen,1,1,Scotland,v Namibia,Windhoek,12-Apr-26,ODI # 4950
