Player Name,Playing Span,Matches Played,Inns Batted,Not Outs,Runs Scored,Highest Innings Scores,Batting Average,Balls Faced,Batting Strike Rate,Hundreds Scored,Fifties Scored,Zeroes Scored,Boundary Fours,Boundary Sixes
JP Kotze (NAM),2024-2024,18,17,1,353,78,22.06,298,118.45,0,2,3,42,13
HH Pandya (IND),2024-2024,17,14,6,352,50*,44,234,150.42,0,1,0,33,19
Umar Adam (MDV),2024-2024,16,16,0,345,50,21.56,229,150.65,0,1,2,27,26
Tanzid Hasan (BAN),2024-2024,18,18,2,345,67*,21.56,302,114.23,0,3,3,38,11
J Charles (WI),2024-2024,15,15,0,344,69,22.93,247,139.27,0,1,2,43,16
M Coetzee (HKG),2024-2024,21,19,0,343,102,18.05,254,135.03,1,1,1,47,7
RM Dorji (BHU),2024-2024,19,19,1,342,57,19,333,102.7,0,2,2,21,13
Muhammad Muneeb (BEL),2024-2024,15,15,1,341,54,24.35,275,124,0,2,2,33,14
D Myers (ZIM),2024-2024,16,16,2,340,96,24.28,265,128.3,0,2,2,32,12
Gulsan Jha (NEP),2024-2024,24,21,6,336,40*,22.4,245,137.14,0,0,1,18,22
Jaker Ali (BAN),2024-2024,19,17,4,336,72*,25.84,263,127.75,0,2,0,18,21
RL Chase (WI),2024-2024,22,17,5,336,67*,28,276,121.73,0,2,3,26,11
Kushal Malla (NEP),2024-2024,19,18,3,332,55*,22.13,286,116.08,0,1,0,16,19
Aaron Jones (USA),2024-2024,20,19,3,332,94*,20.75,286,116.08,0,1,1,17,23
Mohammad Ahnaff (QAT),2024-2024,14,14,3,332,60*,30.18,302,109.93,0,3,0,25,16
SR Mukkamalla (USA),2024-2024,9,9,0,331,85,36.77,240,137.91,0,3,0,30,13
MP Stoinis (AUS),2024-2024,17,14,5,330,67*,36.66,211,156.39,0,3,0,24,20
S Muniandy (MAS),2024-2024,21,19,0,327,41,17.21,321,101.86,0,0,0,24,8
K Motlhanka (BOT),2024-2024,14,13,1,327,52*,27.25,324,100.92,0,1,0,30,6
Ahmad Ramdoni (INA),2024-2024,27,23,7,327,35*,20.43,415,78.79,0,0,0,25,11
YSD Seneveratne (CAY),2024-2024,8,8,3,324,150*,64.8,219,147.94,1,2,0,23,20
DA Miller (SA),2024-2024,14,13,2,323,82,29.36,273,118.31,0,2,2,18,21
Mahmudullah (BAN),2024-2024,20,17,3,322,54,23,273,117.94,0,2,1,23,13
JP Inglis (AUS),2024-2024,14,13,3,319,103,31.9,206,154.85,1,0,1,29,13
MWR Stokes (GUE),2024-2024,12,12,6,317,67*,52.83,227,139.64,0,2,0,28,9
Naseem Khushi (OMA),2024-2024,13,12,0,315,69,26.25,166,189.75,0,2,1,27,24
T Jamtsho (BHU),2024-2024,19,19,3,309,66*,19.31,246,125.6,0,2,4,30,16
Litton Das (BAN),2024-2024,21,20,1,309,54*,16.26,307,100.65,0,1,2,35,7
Aqeel Wahid (MAS),2024-2024,15,13,5,308,65*,38.5,231,133.33,0,1,0,18,13
Q de Kock (SA),2024-2024,12,12,0,307,74,25.58,210,146.19,0,2,1,29,17
NT Tilak Varma (IND),2024-2024,5,5,2,306,120*,102,163,187.73,2,0,0,23,21
Saqlain Arshad (QAT),2024-2024,18,18,0,306,50,17,242,126.44,0,1,1,38,10
PHKD Mendis (SL),2024-2024,18,16,1,305,65*,20.33,249,122.48,0,2,1,33,10
TH David (AUS),2024-2024,21,18,8,304,41*,30.4,178,170.78,0,0,1,23,20
S Ssesazi (UGA),2024-2024,14,14,0,304,90,21.71,224,135.71,0,3,1,30,15
Shaheryar Butt (BEL),2024-2024,16,15,3,300,76*,25,234,128.2,0,1,1,19,21
A Balbirnie (IRE),2024-2024,12,12,0,298,77,24.83,262,113.74,0,2,1,32,8
OE Olaleye (NGA),2024-2024,18,16,3,298,46*,22.92,285,104.56,0,0,1,22,8
Aizaz Khan (HKG),2024-2024,25,21,3,297,37,16.5,239,124.26,0,0,2,17,14
S Dube (IND),2024-2024,15,13,4,296,63*,32.88,220,134.54,0,2,1,18,15
Usman Khalid (KSA),2024-2024,24,20,6,296,75*,21.14,252,117.46,0,2,1,25,12
TW Nightingale (GUE),2024-2024,12,12,0,295,73,24.58,188,156.91,0,2,1,27,15
Mohammad Ihsan (ESP),2024-2024,11,11,1,295,57,29.5,191,154.45,0,1,0,30,17
MDKJ Perera (SL),2024-2024,13,13,1,295,55*,24.58,217,135.94,0,2,3,34,6
I Takahashi (JPN),2024-2024,22,20,5,295,39*,19.66,217,135.94,0,0,1,27,11
Khalid Kail (OMA),2024-2024,21,18,4,294,55,21,266,110.52,0,2,0,22,11
YBK Jaiswal (IND),2024-2024,8,8,1,293,93*,41.85,170,172.35,0,2,0,32,16
SE Rutherford (WI),2024-2024,19,16,6,290,68*,29,207,140.09,0,2,2,17,20
MD Patel (USA),2024-2024,14,13,0,288,68,22.15,228,126.31,0,3,0,38,7
SA Okpe (NGA),2024-2024,22,20,5,287,45*,19.13,225,127.55,0,0,2,17,16
SR Bhudia (KENYA),2024-2024,15,13,3,286,50*,28.6,213,134.27,0,1,0,32,6
B McMullen (SCOT),2024-2024,10,9,1,285,61*,35.62,197,144.67,0,4,0,24,15
S Gooch (EST),2024-2024,9,9,2,282,72*,40.28,240,117.5,0,3,0,21,8
HAM Shah (DEN),2024-2024,6,6,0,281,100,46.83,193,145.59,1,2,0,29,9
SA Engelbrecht (NED),2024-2024,12,10,1,280,75,31.11,211,132.7,0,1,1,21,12
Yasim Murtaza (HKG),2024-2024,27,21,2,279,52,14.68,211,132.22,0,1,1,20,15
C Madande (ZIM),2024-2024,18,16,3,279,53*,21.46,226,123.45,0,1,2,24,11
H Klaasen (SA),2024-2024,15,14,3,278,52,25.27,216,128.7,0,1,1,13,19
NR Kumar (USA),2024-2024,18,16,2,277,64,19.78,231,119.91,0,1,1,17,12
DJ Mitchell (NZ),2024-2024,10,9,2,274,72*,39.14,173,158.38,0,3,0,24,9
Aritra Dutta (SGP),2024-2024,9,9,0,273,122,30.33,173,157.8,1,1,0,30,16
