Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5
CJPF Kalugamage (ITA),2026-2026,7,7,150,25,0,194,11,17.63,7.76,13.63,0,0
MW Forde (WI),2026-2026,12,11,211,35.1,1,274,11,24.9,7.79,19.18,0,0
J Overton (ENG),2026-2026,9,9,152,25.2,1,210,11,19.09,8.28,13.81,0,0
Imran Khan (BHR),2026-2026,6,6,138,23,0,193,11,17.54,8.39,12.54,1,0
Shahid Afridi (GER),2026-2026,5,5,78,13,0,118,11,10.72,9.07,7.09,2,0
S Joseph (WI),2026-2026,10,10,210,35,0,323,11,29.36,9.22,19.09,1,0
JO Holder (WI),2026-2026,10,10,191,31.5,0,312,11,28.36,9.8,17.36,1,0
Irfan Safi (AUT),2026-2026,7,6,117,19.3,0,222,11,20.18,11.38,10.63,0,1
A Wright (CAY),2026-2026,6,6,126,21,0,78,10,7.8,3.71,12.6,1,0
I Takahashi (JPN),2026-2026,6,5,82,13.4,0,61,10,6.1,4.46,8.2,0,0
BV Sears (NZ),2026-2026,6,6,122,20.2,0,128,10,12.8,6.29,12.2,0,0
GD Arta (INA),2026-2026,14,11,216,36,0,235,10,23.5,6.52,21.6,0,0
DN Wellalage (SL),2026-2026,9,9,204,34,0,253,10,25.3,7.44,20.4,0,0
J Martins (POR),2026-2026,6,5,90,15,0,126,10,12.6,8.4,9,0,0
MR Adair (IRE),2026-2026,8,8,181,30.1,0,256,10,25.6,8.48,18.1,0,0
B Evans (ZIM),2026-2026,6,6,128,21.2,0,196,10,19.6,9.18,12.8,0,0
AJ Hosein (WI),2026-2026,9,9,168,28,1,260,10,26,9.28,16.8,0,0
Shaheen Shah Afridi (PAK),2026-2026,7,7,138,23,0,224,10,22.4,9.73,13.8,1,0
Amjad Sher (FIN),2026-2026,4,4,90,15,0,61,9,6.77,4.06,10,0,0
Qamar Mushtaque (NOR),2026-2026,5,5,102,17,0,96,9,10.66,5.64,11.33,0,0
GJ Delany (IRE),2026-2026,8,8,162,27,0,173,9,19.22,6.4,18,0,0
Gaurav Tiwari (INA),2026-2026,7,7,150,25,1,161,9,17.88,6.44,16.66,0,0
MA Leask (SCOT),2026-2026,6,6,144,24,0,177,9,19.66,7.37,16,1,0
M Pathirana (SL),2026-2026,7,7,129,21.3,0,166,9,18.44,7.72,14.33,0,0
U Shantu (POR),2026-2026,5,5,90,15,0,126,9,14,8.4,10,1,0
G Stewart (ITA),2026-2026,7,7,154,25.4,0,245,9,27.22,9.54,17.11,0,0
SM Curran (ENG),2026-2026,11,10,166,27.4,0,283,9,31.44,10.22,18.44,0,0
KA Jamieson (NZ),2026-2026,9,9,190,31.4,1,335,9,37.22,10.57,21.11,0,0
JA Duffy (NZ),2026-2026,10,10,196,32.4,0,352,9,39.11,10.77,21.77,0,0
D Maisuria (BOT),2026-2026,3,3,57,9.3,2,23,8,2.87,2.42,7.12,0,0
K Juma (TAN),2026-2026,4,4,81,13.3,2,38,8,4.75,2.81,10.12,0,0
LS Barkania (TAN),2026-2026,4,4,84,14,0,43,8,5.37,3.07,10.5,0,0
Pavandeep Singh (MAS),2026-2026,4,4,96,16,2,50,8,6.25,3.12,12,2,0
Virandeep Singh (MAS),2026-2026,7,7,156,26,0,107,8,13.37,4.11,19.5,0,0
N Senamontree (THA),2026-2026,4,4,90,15,0,69,8,8.62,4.6,11.25,1,0
Hammadullah Shinwari (FIN),2026-2026,4,4,90,15,1,71,8,8.87,4.73,11.25,0,1
GH Dockrell (IRE),2026-2026,8,7,132,22,0,107,8,13.37,4.86,16.5,0,0
Syed Aziz (MAS),2026-2026,7,7,139,23.1,2,118,8,14.75,5.09,17.37,0,0
D Jakiel (MWI),2026-2026,4,4,84,14,0,72,8,9,5.14,10.5,1,0
G Coetzee (SA),2026-2026,5,5,113,18.5,0,117,8,14.62,6.21,14.12,0,0
H Fennell (ARG),2026-2026,6,6,129,21.3,0,140,8,17.5,6.51,16.12,0,0
Gurpreet Singh (MEX),2026-2026,9,8,150,25,0,174,8,21.75,6.96,18.75,0,0
Ajin Soman (MLT),2026-2026,5,5,96,16,0,112,8,14,7,12,0,0
Muhammad Arfan (UAE),2026-2026,8,8,168,28,0,197,8,24.62,7.03,21,0,0
SK Lahiri (MEX),2026-2026,3,3,54,9,1,64,8,8,7.11,6.75,0,1
D Panda (MEX),2026-2026,11,9,174,29,0,212,8,26.5,7.31,21.75,0,0
Amir Butt (MEX),2026-2026,9,8,141,23.3,0,190,8,23.75,8.08,17.62,0,0
Shariq Munir (QAT),2026-2026,5,5,90,15,0,124,8,15.5,8.26,11.25,1,0
PW Hasaranga (SL),2026-2026,5,5,114,19,0,157,8,19.62,8.26,14.25,1,0
Saim Ayub (PAK),2026-2026,11,7,96,16,0,135,8,16.87,8.43,12,0,0
Waqar Zalmai (AUT),2026-2026,7,7,126,21,0,210,8,26.25,10,15.75,0,0
JDS Neesham (NZ),2026-2026,12,10,162,27,0,283,8,35.37,10.48,20.25,0,0
IS Sodhi (NZ),2026-2026,10,9,156,26,0,290,8,36.25,11.15,19.5,0,0
