Player,Span,Mat,Inns,Dismissed,Ct,St,Max Dis Inns,Dis/Inn
J Perry (SUR),2026-2026,6,6,4,2,2,2 (2ct 0st),0.666
RA Sealy (CAY),2026-2026,6,1,3,2,1,3 (2ct 1st),3
BRM Taylor (ZIM),2026-2026,1,1,3,3,0,3 (3ct 0st),3
L Maximo (BRA),2026-2026,2,2,3,1,2,2 (1ct 1st),1.5
C Tommy (VAN),2026-2026,2,2,3,2,1,3 (2ct 1st),1.5
Usman Patel (KUW),2026-2026,2,2,3,1,2,2 (0ct 2st),1.5
L Canessane (Fran),2026-2026,5,3,3,1,2,2 (1ct 1st),1
W Miyauchi (JPN),2026-2026,4,3,3,2,1,1 (1ct 0st),1
H Jangariya (SWZ),2026-2026,4,4,3,2,1,1 (1ct 0st),0.75
Khizer Ahmed (NOR),2026-2026,5,5,3,1,2,2 (0ct 2st),0.6
T Marumani (ZIM),2026-2026,6,5,3,2,1,1 (1ct 0st),0.6
Muhammad Haziq Aiman (MAS),2026-2026,6,5,3,3,0,1 (1ct 0st),0.6
MH Cross (SCOT),2026-2026,6,6,3,3,0,1 (1ct 0st),0.5
C Nunes (POR),2026-2026,6,6,3,2,1,2 (1ct 1st),0.5
Rahmanullah Gurbaz (AFG),2026-2026,7,7,3,3,0,2 (2ct 0st),0.428
SD Hope (WI),2026-2026,9,9,3,3,0,2 (2ct 0st),0.333
Adeshlie Alias (MAS),2026-2026,1,1,2,2,0,2 (2ct 0st),2
CV Anto (KUW),2026-2026,3,1,2,0,2,2 (0ct 2st),2
JN Loftie-Eaton (NAM),2026-2026,7,1,2,2,0,2 (2ct 0st),2
Khawaja Nafay (PAK),2026-2026,4,2,2,1,1,1 (1ct 0st),1
Litton Das (BAN),2026-2026,2,2,2,2,0,2 (2ct 0st),1
Shayan Jahangir (USA),2026-2026,3,2,2,2,0,2 (2ct 0st),1
R Dianish (MLT),2026-2026,3,3,2,2,0,1 (1ct 0st),0.666
Eranga De Silva (ROM),2026-2026,3,3,2,1,1,2 (1ct 1st),0.666
Flynn Zahra (MLT),2026-2026,6,3,2,1,1,1 (1ct 0st),0.666
A Shirai-Patmore (JPN),2026-2026,4,3,2,1,1,1 (1ct 0st),0.666
KB Tember (INA),2026-2026,3,3,2,2,0,1 (1ct 0st),0.666
Aasif Sheikh (NEP),2026-2026,4,4,2,2,0,1 (1ct 0st),0.5
KK Ahuja (MEX),2026-2026,4,4,2,2,0,1 (1ct 0st),0.5
TV Badri Narayanan (CRC),2026-2026,4,4,2,2,0,1 (1ct 0st),0.5
ZE Green (NAM),2026-2026,4,4,2,1,1,1 (1ct 0st),0.5
MO Kitunda (TAN),2026-2026,4,4,2,0,2,1 (0ct 1st),0.5
A Limdawala (MWI),2026-2026,4,4,2,2,0,1 (1ct 0st),0.5
SR Mohan (SEY),2026-2026,4,4,2,1,1,2 (1ct 1st),0.5
D Ebersohn (MEX),2026-2026,6,5,2,2,0,1 (1ct 0st),0.4
Ishan Kishan (IND),2026-2026,13,5,2,0,2,1 (0ct 1st),0.4
A Sharma (UAE),2026-2026,6,6,2,2,0,1 (1ct 0st),0.333
IKEG Artawan (INA),2026-2026,12,1,1,0,1,1 (0ct 1st),1
OGT Gould (SCOT),2026-2026,2,1,1,1,0,1 (1ct 0st),1
K Krishnakumar (BUL),2026-2026,3,1,1,1,0,1 (1ct 0st),1
Lokesh Bam (NEP),2026-2026,5,1,1,1,0,1 (1ct 0st),1
A Mundra (SWE),2026-2026,7,1,1,1,0,1 (1ct 0st),1
H Pile (GIBR),2026-2026,2,1,1,1,0,1 (1ct 0st),1
Tshering Tashi (BHU),2026-2026,2,1,1,0,1,1 (0ct 1st),1
AP Yadav (THA),2026-2026,4,1,1,1,0,1 (1ct 0st),1
Adeeb Usmani (UAE),2026-2026,2,2,1,0,1,1 (0ct 1st),0.5
M Beitaki (Fiji),2026-2026,2,2,1,1,0,1 (1ct 0st),0.5
SJ French (Samoa),2026-2026,2,2,1,1,0,1 (1ct 0st),0.5
AGS Gous (USA),2026-2026,2,2,1,1,0,1 (1ct 0st),0.5
Manan Bashir (BUL),2026-2026,3,2,1,1,0,1 (1ct 0st),0.5
L Perera (BOT),2026-2026,3,2,1,0,1,1 (0ct 1st),0.5
JR Philippe (AUS),2026-2026,2,2,1,1,0,1 (1ct 0st),0.5
J Pickering (COK),2026-2026,2,2,1,1,0,1 (1ct 0st),0.5
HER Tyler (PHI),2026-2026,2,2,1,1,0,1 (1ct 0st),0.5
HGV Vare (PNG),2026-2026,2,2,1,0,1,1 (0ct 1st),0.5
N Chejay (BHU),2026-2026,4,3,1,0,1,1 (0ct 1st),0.333
D Jansen (IOM),2026-2026,3,3,1,1,0,1 (1ct 0st),0.333
P Suanchuai (THA),2026-2026,3,3,1,1,0,1 (1ct 0st),0.333
J Charles (WI),2026-2026,5,4,1,1,0,1 (1ct 0st),0.25
V Shukla (OMA),2026-2026,4,4,1,1,0,1 (1ct 0st),0.25
L Basson (NAM),2026-2026,1,1,0,0,0,0,0
M Campopiano (ITA),2026-2026,5,1,0,0,0,0,0
DP Conway (NZ),2026-2026,7,1,0,0,0,0,0
MB Kruger (NAM),2026-2026,2,1,0,0,0,0,0
R Mazumder (CYP),2026-2026,6,1,0,0,0,0,0
K Mishara (SL),2026-2026,9,1,0,0,0,0,0
SN Pathirana (CYP),2026-2026,1,1,0,0,0,0,0
RD Rickelton (SA),2026-2026,11,1,0,0,0,0,0
A Saud (NEP),2026-2026,1,1,0,0,0,0,0
S Tharanga (CYP),2026-2026,1,1,0,0,0,0,0
Zubaidi Zulkifle (MAS),2026-2026,3,1,0,0,0,0,0
