Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
MJ Santner (NZ),2026-2026,16,12,4,260,47*,32.5,182,142.85,0,0,1,23,12
P Rathnayake (SL),2026-2026,9,9,1,258,60,32.25,170,151.76,0,2,1,27,7
P Kurup (BHR),2026-2026,12,12,0,258,43,21.5,272,94.85,0,0,0,27,4
LJ Tucker (IRE),2026-2026,8,8,1,250,94*,35.71,192,130.2,0,1,1,21,9
J Baker (CAY),2026-2026,6,6,1,248,56,49.6,181,137.01,0,2,0,23,10
SE Rutherford (WI),2026-2026,9,8,4,246,76*,61.5,132,186.36,0,2,0,17,17
SM Curran (ENG),2026-2026,11,11,3,246,58,30.75,202,121.78,0,1,0,16,10
T Banton (ENG),2026-2026,11,11,2,245,63*,27.22,168,145.83,0,2,0,19,12
Salman Agha (PAK),2026-2026,12,11,0,241,76,21.9,139,173.38,0,1,1,25,13
MD Shanaka (SL),2026-2026,12,11,1,236,76*,23.6,134,176.11,0,2,1,6,22
KN Chaddha (INA),2026-2026,12,11,0,233,60,21.18,235,99.14,0,1,1,22,5
A Mundra (SWE),2026-2026,7,7,0,231,74,33,120,192.5,0,2,0,21,17
WG Jacks (ENG),2026-2026,11,9,4,229,53*,45.8,132,173.48,0,1,0,18,14
D Brevis (SA),2026-2026,11,9,0,228,45,25.33,157,145.22,0,0,0,12,16
Darwish Rasooli (AFG),2026-2026,7,7,1,228,84,38,162,140.74,0,2,0,17,7
HT Tector (IRE),2026-2026,8,8,1,228,96*,32.57,181,125.96,0,1,1,25,0
H Singh (GER),2026-2026,5,4,1,224,83*,74.66,123,182.11,0,2,0,26,8
DS Airee (NEP),2026-2026,6,6,3,224,58,74.66,169,132.54,0,2,0,18,7
KJ Ferrary (GIBR),2026-2026,6,6,1,222,58*,44.4,164,135.36,0,2,0,22,6
Saim Ayub (PAK),2026-2026,11,10,0,219,56,21.9,144,152.08,0,1,0,25,9
P Pushparajan (MLT),2026-2026,5,5,1,217,73,54.25,122,177.86,0,3,0,15,14
Shadab Khan (PAK),2026-2026,12,11,3,217,46,27.12,135,160.74,0,0,0,17,12
Amir Butt (MEX),2026-2026,9,9,0,216,73,24,169,127.81,0,1,0,9,15
IK Gamantika (INA),2026-2026,12,12,2,216,45,21.6,240,90,0,0,1,15,4
YSD Seneveratne (CAY),2026-2026,6,6,4,215,47*,107.5,171,125.73,0,0,0,17,8
Rahmanullah Gurbaz (AFG),2026-2026,7,7,0,213,84,30.42,149,142.95,0,2,2,19,9
II Selemani (TAN),2026-2026,4,4,0,211,110,52.75,113,186.72,1,1,0,21,9
R Ravindra (NZ),2026-2026,14,12,2,210,59*,21,153,137.25,0,1,1,16,11
AJ Mosca (ITA),2026-2026,7,7,1,209,69,34.83,137,152.55,0,2,1,13,16
NT Tilak Varma (IND),2026-2026,9,9,2,207,44*,29.57,134,154.47,0,0,0,18,11
YS Chauhan (SWE),2026-2026,7,7,0,207,52,29.57,154,134.41,0,2,0,14,13
Sikandar Raza (ZIM),2026-2026,6,6,2,206,73,51.5,125,164.8,0,1,0,17,13
DJ Mitchell (NZ),2026-2026,14,10,2,205,39*,25.62,131,156.48,0,0,0,15,10
LH Rodrigues (BRA),2026-2026,5,5,2,203,59,67.66,159,127.67,0,2,0,20,9
Yaseer Nazeer (BHR),2026-2026,12,12,2,202,46,20.2,171,118.12,0,0,1,22,7
C Esterhuizen (SA),2026-2026,5,5,1,200,75,50,137,145.98,0,2,0,16,13
Zubair Ali (QAT),2026-2026,5,5,0,200,86,40,138,144.92,0,2,1,21,8
C Roberts (Fran),2026-2026,7,7,2,195,53,39,179,108.93,0,1,0,12,1
L Steenkamp (NAM),2026-2026,7,7,0,194,58,27.71,136,142.64,0,1,0,22,6
MG Erasmus (NAM),2026-2026,7,7,0,194,54,27.71,139,139.56,0,1,0,12,9
R Powell (WI),2026-2026,10,9,2,193,59,27.57,141,136.87,0,1,0,13,12
I Liyanage (QAT),2026-2026,5,5,0,191,82,38.2,128,149.21,0,1,0,19,6
Muhammad Waseem (UAE),2026-2026,8,8,1,187,66*,26.71,135,138.51,0,1,1,17,9
A Sharafu (UAE),2026-2026,8,8,0,185,55,23.12,170,108.82,0,1,0,16,6
MS Chapman (NZ),2026-2026,13,9,0,184,48,20.44,130,141.53,0,0,1,17,7
PA Raikes (GIBR),2026-2026,6,6,0,181,69,30.16,124,145.96,0,1,0,16,9
TP Ura (PNG),2026-2026,2,2,1,180,106*,180,88,204.54,1,1,0,13,10
D Panda (MEX),2026-2026,11,11,2,179,56*,19.88,165,108.48,0,1,0,12,4
K Bhurtel (NEP),2026-2026,6,6,1,178,84*,35.6,131,135.87,0,1,0,19,8
PD Salt (ENG),2026-2026,10,10,0,177,62,17.7,119,148.73,0,1,1,16,8
DA Miller (SA),2026-2026,7,6,3,174,63,58,112,155.35,0,1,0,12,10
A Sharma (UAE),2026-2026,6,6,1,172,74*,34.4,137,125.54,0,2,1,16,7
JN Frylinck (NAM),2026-2026,7,7,0,171,78,24.42,137,124.81,0,1,0,17,6
RD Berrington (SCOT),2026-2026,6,6,0,169,49,28.16,104,162.5,0,0,0,14,8
JC Buttler (ENG),2026-2026,11,11,0,168,39,15.27,135,124.44,0,0,1,23,3
Babar Azam (PAK),2026-2026,9,7,1,167,50*,27.83,142,117.6,0,1,0,11,3
D Norotam (POR),2026-2026,6,6,0,165,52,27.5,119,138.65,0,1,1,18,4
DP Conway (NZ),2026-2026,7,7,0,164,60,23.42,116,141.37,0,1,1,16,8
Jaspal Singh (MLT),2026-2026,5,5,2,163,68*,54.33,98,166.32,0,1,0,10,13
B Kohler-Cadmore (GER),2026-2026,4,4,1,162,133*,54,68,238.23,1,0,2,21,8
A Kirschbaum (ARG),2026-2026,6,6,1,159,51*,31.8,137,116.05,0,2,0,11,3
BFW de Leede (NED),2026-2026,4,4,1,158,72*,52.66,113,139.82,0,1,0,13,6
B McMullen (SCOT),2026-2026,7,7,2,158,44*,31.6,116,136.2,0,0,1,7,9
KB Patil (MEX),2026-2026,10,10,0,153,37,15.3,144,106.25,0,0,1,12,4
Muhammad Asim (QAT),2026-2026,5,4,3,151,67*,151,95,158.94,0,2,0,10,7
Sediqullah Atal (AFG),2026-2026,7,7,0,151,53,21.57,130,116.15,0,1,1,7,6
Bilal Zalmai (AUT),2026-2026,7,7,1,150,89*,25,80,187.5,0,1,0,15,11
Mehboob Ali (MLT),2026-2026,4,4,0,148,93,37,69,214.49,0,1,1,15,13
A Augastin (TAN),2026-2026,4,4,2,145,63,72.5,102,142.15,0,1,0,15,4
T Stubbs (SA),2026-2026,10,7,5,145,44*,72.5,105,138.09,0,0,0,5,7
Gaurav Tiwari (INA),2026-2026,7,7,1,145,42,24.16,144,100.69,0,0,0,12,6
YS Samra (CAN),2026-2026,4,4,0,144,110,36,92,156.52,1,0,0,17,6
JO Holder (WI),2026-2026,10,6,1,142,49,28.4,83,171.08,0,0,0,7,13
R Satheesan (ROM),2026-2026,3,3,1,142,65*,71,87,163.21,0,2,0,11,9
MA Jones (SCOT),2026-2026,4,4,0,142,71,35.5,100,142,0,1,0,14,6
SS Ranjane (USA),2026-2026,4,4,2,141,51,70.5,78,180.76,0,1,0,9,8
MWR Stokes (GUE),2026-2026,3,2,0,140,100,70,93,150.53,1,0,0,15,3
GH Dockrell (IRE),2026-2026,8,8,2,139,41,23.16,80,173.75,0,0,1,9,10
Usman Khan (PAK),2026-2026,11,9,2,139,53,19.85,112,124.1,0,1,2,13,4
W Boshoff (SWE),2026-2026,7,7,4,139,51*,46.33,122,113.93,0,1,1,6,5
BAD Manenti (ITA),2026-2026,4,3,0,138,60,46,77,179.22,0,2,0,11,8
TM Head (AUS),2026-2026,6,6,0,138,56,23,88,156.81,0,1,0,20,5
MR Marsh (AUS),2026-2026,4,4,1,137,64*,45.66,77,177.92,0,2,0,16,8
Gurpreet Singh (MEX),2026-2026,9,8,0,137,37,17.12,148,92.56,0,0,0,11,1
Sohaib Khan (UAE),2026-2026,7,7,1,136,68,22.66,104,130.76,0,2,1,10,9
Syed Aziz (MAS),2026-2026,7,5,0,136,58,27.2,111,122.52,0,1,0,7,8
Zada Sher (Fran),2026-2026,7,7,0,135,55,19.28,93,145.16,0,1,3,10,7
Asif Ali (BHR),2026-2026,12,12,1,135,39,12.27,120,112.5,0,0,3,9,11
Fakhar Zaman (PAK),2026-2026,6,5,0,134,84,26.8,91,147.25,0,1,0,14,6
LF Muller (BRA),2026-2026,5,5,1,134,38,33.5,93,144.08,0,0,0,18,3
Zeeshan Khan (MLT),2026-2026,5,5,1,132,70,33,100,132,0,2,0,10,4
PHKD Mendis (SL),2026-2026,8,7,1,131,44,21.83,82,159.75,0,0,0,11,6
T Marumani (ZIM),2026-2026,6,6,0,131,35,21.83,93,140.86,0,0,0,20,4
GD Arta (INA),2026-2026,14,14,0,131,46,9.35,138,94.92,0,0,2,7,10
L Bruce (GIBR),2026-2026,6,6,0,130,45,21.66,80,162.5,0,0,0,12,7
GR Adair (IRE),2026-2026,8,8,0,128,39,16,97,131.95,0,0,0,17,4
J Byrappa (MEX),2026-2026,10,10,2,127,43,15.87,132,96.21,0,0,0,6,5
K Mishara (SL),2026-2026,9,9,0,126,36,14,96,131.25,0,0,2,16,5
J Martins (POR),2026-2026,6,6,0,126,35,21,112,112.5,0,0,0,7,5
TB Robinson (NZ),2026-2026,8,8,0,125,32,15.62,97,128.86,0,0,1,12,3
JN Loftie-Eaton (NAM),2026-2026,7,7,0,124,42,17.71,99,125.25,0,0,0,9,5
Fiaz Ahmed (BHR),2026-2026,12,11,0,124,37,11.27,151,82.11,0,0,1,10,4
RL Chase (WI),2026-2026,8,5,0,122,40,24.4,99,123.23,0,0,0,15,1
J Mosca (ITA),2026-2026,7,7,1,122,60*,20.33,103,118.44,0,1,1,15,3
Muhammad Qasim (MLT),2026-2026,3,2,0,121,84,60.5,80,151.25,0,1,0,10,6
M Gunasekara (CYP),2026-2026,6,6,0,121,51,20.16,118,102.54,0,1,1,8,4
MT Renshaw (AUS),2026-2026,6,5,0,120,65,24,99,121.21,0,1,0,8,2
Imal Zuwak (SWE),2026-2026,8,8,0,120,30,15,125,96,0,0,0,10,1
AA Senn (CYP),2026-2026,6,6,1,120,61*,24,128,93.75,0,1,1,5,4
BJ Jacobs (NZ),2026-2026,7,6,1,119,62*,23.8,75,158.66,0,1,0,8,7
T Rossi (ARG),2026-2026,6,6,3,119,43*,39.66,77,154.54,0,0,0,5,8
Muhamad Syahadat (MAS),2026-2026,6,6,1,118,33*,23.6,123,95.93,0,0,0,6,3
S Kaveri (MEX),2026-2026,10,10,2,118,26,14.75,135,87.4,0,0,0,6,1
GF Linde (SA),2026-2026,10,5,2,117,33,39,69,169.56,0,0,0,10,6
Sami Sohail (MWI),2026-2026,4,4,1,117,50*,39,74,158.1,0,1,0,16,3
C Green (AUS),2026-2026,7,6,0,117,36,19.5,95,123.15,0,0,1,7,5
DJ Hawoe (INA),2026-2026,14,14,3,117,35*,10.63,99,118.18,0,0,2,3,10
H Thaker (CAN),2026-2026,4,4,1,116,50,38.66,97,119.58,0,1,0,7,6
IDM Latin (GIBR),2026-2026,6,6,1,116,47,23.2,106,109.43,0,0,1,4,7
Shahid Afridi (GER),2026-2026,5,5,1,115,37,28.75,48,239.58,0,0,0,7,11
