Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Shakeel Ahmed (OMA),2026-2026,7,7,2,70,23*,14,118,59.32,0,0,2,4,2
AR Bisht (OMA),2026-2026,3,3,0,68,35,22.66,84,80.95,0,0,0,7,2
DN Wellalage (SL),2026-2026,3,3,1,67,25*,33.5,55,121.81,0,0,0,6,2
RD Berrington (SCOT),2026-2026,3,2,0,66,43,33,79,83.54,0,0,0,5,3
Sahibzada Farhan (PAK),2026-2026,3,3,0,64,31,21.33,89,71.91,0,0,0,7,0
Rehan Ahmed (ENG),2026-2026,3,3,0,64,27,21.33,76,84.21,0,0,0,9,0
RG Sharma (IND),2026-2026,3,3,0,61,26,20.33,80,76.25,0,0,0,9,2
SS Iyer (IND),2026-2026,3,3,0,60,49,20,74,81.08,0,0,0,4,1
Faheem Ashraf (PAK),2026-2026,3,3,0,60,37,20,82,73.17,0,0,0,8,1
RK Paudel (NEP),2026-2026,4,4,0,60,39,15,98,61.22,0,0,0,3,0
A Kumal (NEP),2026-2026,2,2,0,59,48,29.5,109,54.12,0,0,0,6,0
DM de Silva (SL),2026-2026,3,3,0,59,40,19.66,96,61.45,0,0,0,5,0
Mohammad Rizwan (PAK),2026-2026,3,3,0,58,44,19.33,83,69.87,0,0,0,8,0
Muhammad Abbas (NZ),2026-2026,3,3,0,58,25,19.33,100,58,0,0,0,2,0
B Bhandari (NEP),2026-2026,2,2,0,56,56,28,80,70,0,1,1,7,0
K Mishara (SL),2026-2026,3,3,0,54,27,18,66,81.81,0,0,0,8,1
JC Buttler (ENG),2026-2026,3,2,1,52,33*,52,41,126.82,0,0,0,3,2
Khuzaima Tanveer (UAE),2026-2026,3,3,1,51,49,25.5,39,130.76,0,0,0,2,5
Muhammad Waseem (UAE),2026-2026,4,4,0,47,34,11.75,68,69.11,0,0,0,3,2
Afif Hossain (BAN),2026-2026,4,3,1,46,27,23,72,63.88,0,0,0,2,0
Abdul Samad (PAK),2026-2026,3,3,0,45,34,15,58,77.58,0,0,1,5,1
MB Kruger (NAM),2026-2026,4,4,0,45,21,11.25,82,54.87,0,0,0,5,1
MG Bracewell (NZ),2026-2026,3,2,1,44,28*,44,36,122.22,0,0,0,2,3
Shaheen Shah Afridi (PAK),2026-2026,3,3,0,44,37,14.66,51,86.27,0,0,0,3,2
RA Jadeja (IND),2026-2026,3,3,0,43,27,14.33,65,66.15,0,0,0,1,0
DO Leicher (NAM),2026-2026,3,3,1,43,30*,21.5,44,97.72,0,0,0,3,1
NG Smith (NZ),2026-2026,3,3,2,41,21*,41,49,83.67,0,0,0,2,0
Saad Masood (PAK),2026-2026,1,1,0,38,38,38,44,86.36,0,0,0,5,0
MH Cross (SCOT),2026-2026,3,2,1,38,24,38,45,84.44,0,0,0,4,0
B Sharki (NEP),2026-2026,3,3,0,38,28,12.66,74,51.35,0,0,1,5,0
Mehidy Hasan Miraz (BAN),2026-2026,6,4,1,37,22,12.33,62,59.67,0,0,0,3,0
KDC Clarke (NZ),2026-2026,3,2,1,35,24*,35,22,159.09,0,0,0,4,1
J Overton (ENG),2026-2026,3,1,0,34,34,34,17,200,0,0,0,4,2
TWM Latham (NZ),2026-2026,3,3,0,33,14,11,63,52.38,0,0,0,3,0
Ghazi Ghori (PAK),2026-2026,1,1,0,29,29,29,39,74.35,0,0,0,3,1
Hasnain Ul Wahab (OMA),2026-2026,1,1,0,29,29,29,43,67.44,0,0,0,3,1
MRJ Watt (SCOT),2026-2026,3,2,1,27,27*,27,42,64.28,0,0,1,2,1
Soumya Sarkar (BAN),2026-2026,2,2,0,26,18,13,37,70.27,0,0,0,3,1
K Bhurtel (NEP),2026-2026,2,2,0,25,24,12.5,28,89.28,0,0,0,4,0
Karan KC (NEP),2026-2026,3,2,0,22,22,11,38,57.89,0,0,1,1,1
Basir Ahamad (NEP),2026-2026,2,2,0,21,20,10.5,45,46.66,0,0,0,3,0
MJ Hay (NZ),2026-2026,3,2,0,20,18,10,19,105.26,0,0,0,2,0
JA Clarkson (NZ),2026-2026,3,3,0,20,8,6.66,31,64.51,0,0,0,1,0
BM Tickner (NZ),2026-2026,2,2,0,19,12,9.5,21,90.47,0,0,0,2,0
Nilansh Keswani (UAE),2026-2026,2,2,0,18,18,9,34,52.94,0,0,1,1,0
MA Leask (SCOT),2026-2026,3,1,0,17,17,17,16,106.25,0,0,0,1,0
Sompal Kami (NEP),2026-2026,3,3,2,17,15,17,33,51.51,0,0,0,1,0
Nadeem Khan (OMA),2026-2026,3,3,0,17,12,5.66,20,85,0,0,0,2,1
JDF Vandersay (SL),2026-2026,3,2,1,16,14,16,19,84.21,0,0,0,1,0
Hassnain Shah (OMA),2026-2026,5,5,2,16,14,5.33,15,106.66,0,0,2,0,2
Hussain Talat (PAK),2026-2026,2,2,0,13,9,6.5,26,50,0,0,0,1,0
R Trumpelmann (NAM),2026-2026,3,3,1,13,10,6.5,18,72.22,0,0,1,0,1
CM McBride (SCOT),2026-2026,3,1,0,12,12,12,8,150,0,0,0,0,1
HG Munsey (SCOT),2026-2026,3,2,0,12,12,6,12,100,0,0,1,3,0
FDW McCreath (SCOT),2026-2026,3,2,0,12,10,6,22,54.54,0,0,0,2,0
ZG Foulkes (NZ),2026-2026,3,2,0,11,10,5.5,10,110,0,0,0,1,0
PD Machhi (OMA),2026-2026,2,2,0,11,7,5.5,17,64.7,0,0,0,2,0
SM Sharif (SCOT),2026-2026,2,1,1,10,10*,0,6,166.66,0,0,0,0,1
Shamyl Hussain (PAK),2026-2026,2,2,0,10,6,5,29,34.48,0,0,0,0,0
PW Hasaranga (SL),2026-2026,1,1,0,9,9,9,5,180,0,0,0,2,0
MW Jones (SCOT),2026-2026,1,1,1,9,9*,0,5,180,0,0,0,0,1
BM Scholtz (NAM),2026-2026,4,3,2,9,7*,9,13,69.23,0,0,0,0,0
Haider Ali (UAE),2026-2026,4,3,1,9,8,4.5,32,28.12,0,0,0,0,0
Junaid Siddique (UAE),2026-2026,4,4,3,9,7*,9,11,81.81,0,0,1,0,1
WG Jacks (ENG),2026-2026,2,1,1,8,8*,0,8,100,0,0,0,1,0
KA Jamieson (NZ),2026-2026,3,2,2,8,8*,0,8,100,0,0,0,1,0
Washington Sundar (IND),2026-2026,1,1,1,7,7*,0,7,100,0,0,0,0,0
Pramod Madushan (SL),2026-2026,2,1,0,7,7,7,11,63.63,0,0,0,0,0
J Jarvis (SCOT),2026-2026,3,1,0,7,7,7,9,77.77,0,0,0,0,0
Shah Faisal (OMA),2026-2026,2,1,0,7,7,7,13,53.84,0,0,0,0,0
Mustafizur Rahman (BAN),2026-2026,4,2,1,7,4,7,12,58.33,0,0,0,0,0
Taskin Ahmed (BAN),2026-2026,5,2,0,7,5,3.5,19,36.84,0,0,0,0,0
W O'Rourke (NZ),2026-2026,3,2,0,7,6,3.5,16,43.75,0,0,0,0,0
Z Crawley (ENG),2026-2026,1,1,0,6,6,6,11,54.54,0,0,0,1,0
Rishad Hossain (BAN),2026-2026,5,3,0,6,4,2,15,40,0,0,1,0,0
Kuldeep Yadav (IND),2026-2026,3,1,0,5,5,5,3,166.66,0,0,0,1,0
SM Curran (ENG),2026-2026,3,1,0,5,5,5,9,55.55,0,0,0,0,0
Arshdeep Singh (IND),2026-2026,1,1,1,4,4*,0,2,200,0,0,0,1,0
J Giyanani (UAE),2026-2026,1,1,0,4,4,4,5,80,0,0,0,0,0
JT Brassell (NAM),2026-2026,4,2,1,4,3,4,9,44.44,0,0,0,0,0
S Lamichhane (NEP),2026-2026,4,2,0,3,2,1.5,9,33.33,0,0,0,0,0
Haris Rauf (PAK),2026-2026,2,2,1,3,2*,3,5,60,0,0,0,0,0
Nahid Rana (BAN),2026-2026,6,2,2,3,3*,0,6,50,0,0,0,0,0
Ajay Kumar (UAE),2026-2026,4,2,1,3,2,3,9,33.33,0,0,0,0,0
JR Lennox (NZ),2026-2026,5,3,1,3,2,1.5,13,23.07,0,0,1,0,0
LA Dawson (ENG),2026-2026,3,1,0,2,2,2,2,100,0,0,0,0,0
NK Yadav (NEP),2026-2026,2,1,0,2,2,2,5,40,0,0,0,0,0
BG Lister (NZ),2026-2026,1,1,1,2,2*,0,7,28.57,0,0,0,0,0
Mohammed Siraj (IND),2026-2026,3,2,1,2,2*,2,4,50,0,0,1,0,0
Muhammed Imran (OMA),2026-2026,4,2,1,2,2*,2,9,22.22,0,0,1,0,0
Zuhaib Zubair (UAE),2026-2026,1,1,0,1,1,1,10,10,0,0,0,0,0
S Shrivastava (OMA),2026-2026,2,1,1,1,1*,0,3,33.33,0,0,0,0,0
Shoriful Islam (BAN),2026-2026,3,2,0,1,1,0.5,3,33.33,0,0,1,0,0
Mohammad Wasim (PAK),2026-2026,2,2,0,1,1,0.5,7,14.28,0,0,1,0,0
B Siddharth (OMA),2026-2026,3,3,1,1,1*,0.5,5,20,0,0,2,0,0
