Player,Span,Mat,Inns,Dismissed,Ct,St,Max Dis Inns,Dis/Inn
JM Sharma (IND),2025-2025,7,5,7,6,1,4 (4ct 0st),1.4
Divyendra Singh (CZK-R),2025-2025,7,6,7,6,1,2 (2ct 0st),1.166
A Manepalli (LUX),2025-2025,7,7,7,7,0,3 (3ct 0st),1
Jaker Ali (BAN),2025-2025,26,8,7,6,1,2 (2ct 0st),0.875
DK Kesuma (INA),2025-2025,41,8,7,6,1,3 (3ct 0st),0.875
Amar Naeem (AUT),2025-2025,15,11,7,7,0,3 (3ct 0st),0.636
BRM Taylor (ZIM),2025-2025,13,12,7,7,0,2 (2ct 0st),0.583
V Shukla (OMA),2025-2025,14,14,7,6,1,2 (2ct 0st),0.5
Ibrahim Rahimi (NOR),2025-2025,14,3,6,5,1,4 (4ct 0st),2
O Manishimwe (RWN),2025-2025,15,3,6,6,0,3 (3ct 0st),2
L Canessane (Fran),2025-2025,7,5,6,6,0,4 (4ct 0st),1.2
AP Rajeevan (TAN),2025-2025,5,5,6,5,1,4 (4ct 0st),1.2
Usman Patel (KUW),2025-2025,7,7,6,4,2,2 (1ct 1st),0.857
Rasheed Ali Mamadkhel (SVN),2025-2025,10,8,6,6,0,2 (2ct 0st),0.75
IDA Damarell (GUE),2025-2025,9,9,6,6,0,2 (2ct 0st),0.666
S Houghton (CRT),2025-2025,12,9,6,5,1,2 (2ct 0st),0.666
CN Kakuru (UGA),2025-2025,10,10,6,3,3,1 (1ct 0st),0.6
DP Conway (NZ),2025-2025,12,4,5,5,0,3 (3ct 0st),1.25
TV Valivarthi (HUN),2025-2025,5,5,5,5,0,2 (2ct 0st),1
S Chilemanya (NGA),2025-2025,6,6,5,5,0,3 (3ct 0st),0.833
J Scheffer (Falk),2025-2025,6,6,5,4,1,4 (3ct 1st),0.833
M Yambayamba (Zamb),2025-2025,8,6,5,2,3,2 (2ct 0st),0.833
R Dianish (MLT),2025-2025,15,7,5,5,0,2 (2ct 0st),0.714
Manpreet Singh (SGP),2025-2025,16,7,5,3,2,2 (2ct 0st),0.714
Muhammad Haziq Aiman (MAS),2025-2025,12,7,5,1,4,2 (1ct 1st),0.714
Swann Htet Ko Ko (MYAN),2025-2025,7,7,5,4,1,3 (2ct 1st),0.714
Tshering Tashi (BHU),2025-2025,7,7,5,1,4,3 (1ct 2st),0.714
Q de Kock (SA),2025-2025,8,8,5,4,1,2 (2ct 0st),0.625
LJ Tucker (IRE),2025-2025,9,9,5,3,2,1 (1ct 0st),0.555
TL Seifert (NZ),2025-2025,16,10,5,3,2,2 (2ct 0st),0.5
A Augastin (TAN),2025-2025,11,2,4,3,1,2 (2ct 0st),2
CJ Stamp (PHI),2025-2025,4,2,4,4,0,3 (3ct 0st),2
Abdul Hashmi (DEN),2025-2025,3,3,4,3,1,2 (2ct 0st),1.333
AT Carey (AUS),2025-2025,4,3,4,3,1,2 (2ct 0st),1.333
Ashish Bam (CYP),2025-2025,4,4,4,4,0,2 (2ct 0st),1
H Jangariya (SWZ),2025-2025,5,4,4,3,1,3 (2ct 1st),1
AA Jangoo (WI),2025-2025,6,4,4,3,1,3 (3ct 0st),1
PD Salt (ENG),2025-2025,12,4,4,4,0,2 (2ct 0st),1
M Vaik (EST),2025-2025,4,4,4,3,1,2 (1ct 1st),1
Walid Sahibzada (BEL),2025-2025,4,4,4,3,1,2 (1ct 1st),1
Manan Bashir (BUL),2025-2025,10,5,4,3,1,2 (1ct 1st),0.8
L Maximo (BRA),2025-2025,6,5,4,3,1,2 (2ct 0st),0.8
J Pickering (COK),2025-2025,5,5,4,2,2,2 (1ct 1st),0.8
RD Rickelton (SA),2025-2025,5,5,4,4,0,2 (2ct 0st),0.8
GR Russ (PHI),2025-2025,6,5,4,1,3,2 (0ct 2st),0.8
Shayan Jahangir (USA),2025-2025,5,5,4,1,3,2 (1ct 1st),0.8
TV Badri Narayanan (CRC),2025-2025,6,6,4,4,0,2 (2ct 0st),0.666
C Sudarsanan (MLT),2025-2025,8,6,4,4,0,2 (2ct 0st),0.666
S Tharanga (CYP),2025-2025,6,6,4,4,0,2 (2ct 0st),0.666
T Marumani (ZIM),2025-2025,19,7,4,3,1,2 (2ct 0st),0.571
EDS Pimheiro (TLS),2025-2025,8,8,4,4,0,2 (2ct 0st),0.5
Usman Khan (PAK),2025-2025,9,8,4,3,1,2 (2ct 0st),0.5
SJ French (Samoa),2025-2025,10,9,4,3,1,2 (1ct 1st),0.444
Muhammad Naeem (CAM),2025-2025,9,9,4,4,0,1 (1ct 0st),0.444
P Zuze (MWI),2025-2025,9,9,4,4,0,2 (2ct 0st),0.444
Aman Desai (SGP),2025-2025,13,11,4,3,1,1 (1ct 0st),0.363
JJ Chicuele (MOZ),2025-2025,4,1,3,3,0,3 (3ct 0st),3
Rizwan Mangera (PAN),2025-2025,2,1,3,2,1,3 (2ct 1st),3
KK Ahuja (MEX),2025-2025,2,2,3,2,1,2 (1ct 1st),1.5
