Player,Ct Fi,Inns,Team,Opposition,Ground,Match Date,Scorecard
AUKDS Kalugala,3,2,Cyprus,v Austria,Episkopi,14-Mar-26,T20I # 3769
AA Senn,3,2,Cyprus,v Austria,Episkopi,14-Mar-26,T20I # 3769
P Baron,3,2,Argentina,v Mexico,George Town,14-Mar-26,T20I # 3770
RA Hermann,3,2,South Africa,v New Zealand,Wellington,22-Mar-26,T20I # 3779
IKO Aboagye,3,2,Ghana,v Eswatini,Accra,28-Mar-26,T20I # 3792
Natim Hassam,3,2,Portugal,v France,Albergaria,08-Apr-26,T20I # 3807
Khuzaima Tanveer,3,1,U.A.E.,v Nepal,Kirtipur,20-Apr-26,T20I # 3820
TB Robinson,3,1,New Zealand,v Bangladesh,Mirpur,02-May-26,T20I # 3827
PA Raikes,3,1,Gibraltar,v Malta,Marsa,08-May-26,T20I # 3843
W Wotu,3,1,Vanuatu,v Japan,Nisshin,09-May-26,T20I # 3847
Mohammad Nawaz,2,1,Pakistan,v Sri Lanka,Dambulla,07-Jan-26,T20I # 3660
MS Chapman,2,1,New Zealand,v India,Nagpur,21-Jan-26,T20I # 3663
KA Jamieson,2,1,New Zealand,v India,Nagpur,21-Jan-26,T20I # 3663
Abhishek Sharma,2,2,India,v New Zealand,Nagpur,21-Jan-26,T20I # 3663
S Dube,2,2,India,v New Zealand,Nagpur,21-Jan-26,T20I # 3663
Darwish Rasooli,2,2,Afghanistan,v West Indies,Dubai (DICS),21-Jan-26,T20I # 3664
Ibrahim Zadran,2,2,Afghanistan,v West Indies,Dubai (DICS),21-Jan-26,T20I # 3664
SK Springer,2,2,West Indies,v Afghanistan,Dubai (DICS),22-Jan-26,T20I # 3665
GH Dockrell,2,1,Ireland,v Italy,Dubai,23-Jan-26,T20I # 3666
BF Calitz,2,2,Ireland,v Italy,Dubai,25-Jan-26,T20I # 3668
Ishan Kishan,2,1,India,v New Zealand,Guwahati,25-Jan-26,T20I # 3669
HT Tector,2,2,Ireland,v Italy,Dubai,26-Jan-26,T20I # 3670
XC Bartlett,2,1,Australia,v Pakistan,Lahore,29-Jan-26,T20I # 3673
J Overton,2,1,England,v Sri Lanka,Pallekele,30-Jan-26,T20I # 3676
C Campher,2,2,Ireland,v U.A.E.,Dubai (DICS),31-Jan-26,T20I # 3677
Babar Azam,2,2,Pakistan,v Australia,Lahore,31-Jan-26,T20I # 3678
BJ Jacobs,2,1,New Zealand,v India,Thiruvananthapuram,31-Jan-26,T20I # 3679
RK Singh,2,2,India,v New Zealand,Thiruvananthapuram,31-Jan-26,T20I # 3679
JO Holder,2,2,West Indies,v South Africa,Johannesburg,31-Jan-26,T20I # 3680
C Green,2,1,Australia,v Pakistan,Lahore,01-Feb-26,T20I # 3681
MW Short,2,1,Australia,v Pakistan,Lahore,01-Feb-26,T20I # 3681
J Liyanage,2,1,Sri Lanka,v England,Pallekele,03-Feb-26,T20I # 3683
P Nissanka,2,1,Sri Lanka,v England,Pallekele,03-Feb-26,T20I # 3683
Salman Agha,2,1,Pakistan,v Netherlands,Colombo (SSC),07-Feb-26,T20I # 3684
Sahibzada Farhan,2,1,Pakistan,v Netherlands,Colombo (SSC),07-Feb-26,T20I # 3684
RE van der Merwe,2,2,Netherlands,v Pakistan,Colombo (SSC),07-Feb-26,T20I # 3684
MA Jones,2,1,Scotland,v West Indies,Eden Gardens,07-Feb-26,T20I # 3685
SE Rutherford,2,2,West Indies,v Scotland,Eden Gardens,07-Feb-26,T20I # 3685
NT Tilak Varma,2,2,India,v U.S.A.,Wankhede,07-Feb-26,T20I # 3686
GD Phillips,2,1,New Zealand,v Afghanistan,Chennai,08-Feb-26,T20I # 3687
GH Dockrell,2,1,Ireland,v Sri Lanka,Colombo (RPS),08-Feb-26,T20I # 3689
MD Shanaka,2,2,Sri Lanka,v Ireland,Colombo (RPS),08-Feb-26,T20I # 3689
HJ Manenti,2,1,Italy,v Scotland,Eden Gardens,09-Feb-26,T20I # 3690
RD Berrington,2,2,Scotland,v Italy,Eden Gardens,09-Feb-26,T20I # 3690
B McMullen,2,2,Scotland,v Italy,Eden Gardens,09-Feb-26,T20I # 3690
D Myers,2,1,Zimbabwe,v Oman,Colombo (SSC),09-Feb-26,T20I # 3691
K Rabada,2,2,South Africa,v Canada,Ahmedabad,09-Feb-26,T20I # 3692
T Stubbs,2,2,South Africa,v Canada,Ahmedabad,09-Feb-26,T20I # 3692
MG Erasmus,2,2,Namibia,v Netherlands,Delhi,10-Feb-26,T20I # 3693
SN Netravalkar,2,1,U.S.A.,v Pakistan,Colombo (SSC),10-Feb-26,T20I # 3696
Shayan Jahangir,2,1,U.S.A.,v Pakistan,Colombo (SSC),10-Feb-26,T20I # 3696
Shaheen Shah Afridi,2,2,Pakistan,v U.S.A.,Colombo (SSC),10-Feb-26,T20I # 3696
Mohammad Nabi,2,1,Afghanistan,v South Africa,Ahmedabad,11-Feb-26,T20I # 3697
CPL Connolly,2,2,Australia,v Ireland,Colombo (RPS),11-Feb-26,T20I # 3698
T Banton,2,1,England,v West Indies,Wankhede,11-Feb-26,T20I # 3700
R Powell,2,2,West Indies,v England,Wankhede,11-Feb-26,T20I # 3700
HJ Manenti,2,1,Italy,v Nepal,Wankhede,12-Feb-26,T20I # 3702
AR Patel,2,2,India,v Namibia,Delhi,12-Feb-26,T20I # 3703
T Musekiwa,2,2,Zimbabwe,v Australia,Colombo (RPS),13-Feb-26,T20I # 3704
A Sharafu,2,1,U.A.E.,v Canada,Delhi,13-Feb-26,T20I # 3705
Milind Kumar,2,2,U.S.A.,v Netherlands,Chennai,13-Feb-26,T20I # 3707
T Banton,2,1,England,v Scotland,Eden Gardens,14-Feb-26,T20I # 3709
SM Curran,2,1,England,v Scotland,Eden Gardens,14-Feb-26,T20I # 3709
BTJ Wheal,2,2,Scotland,v England,Eden Gardens,14-Feb-26,T20I # 3709
RD Rickelton,2,1,South Africa,v New Zealand,Ahmedabad,14-Feb-26,T20I # 3711
DJ Mitchell,2,2,New Zealand,v South Africa,Ahmedabad,14-Feb-26,T20I # 3711
MW Forde,2,1,West Indies,v Nepal,Wankhede,15-Feb-26,T20I # 3712
Ali Dawood,2,1,Bahrain,v Qatar,Doha,15-Feb-26,T20I # 3714
Abdullah Mohd Yousaf,2,1,Bahrain,v Qatar,Doha,15-Feb-26,T20I # 3714
Shahzaib Jamil,2,2,Qatar,v Bahrain,Doha,15-Feb-26,T20I # 3714
Saim Ayub,2,1,Pakistan,v India,Colombo (RPS),15-Feb-26,T20I # 3715
S Dube,2,2,India,v Pakistan,Colombo (RPS),15-Feb-26,T20I # 3715
RK Singh,2,2,India,v Pakistan,Colombo (RPS),15-Feb-26,T20I # 3715
S Jora,2,1,Nepal,v Scotland,Wankhede,17-Feb-26,T20I # 3720
MG Erasmus,2,1,Namibia,v Pakistan,Colombo (SSC),18-Feb-26,T20I # 3722
RE van der Merwe,2,1,Netherlands,v India,Ahmedabad,18-Feb-26,T20I # 3723
