Player,Span,Mat,Inns,Ct,Max,Ct/Inn
KIC Asalanka (SL),2026-2026,3,3,1,1,0.333
RD Berrington (SCOT),2026-2026,3,3,1,1,0.333
AR Bisht (OMA),2026-2026,3,3,1,1,0.333
JT Brassell (NAM),2026-2026,4,3,1,1,0.333
JA Clarkson (NZ),2026-2026,3,3,1,1,0.333
DM de Silva (SL),2026-2026,3,3,1,1,0.333
MG Erasmus (NAM),2026-2026,4,3,1,1,0.333
ZG Foulkes (NZ),2026-2026,3,3,1,1,0.333
JN Frylinck (NAM),2026-2026,4,3,1,1,0.333
SS Iyer (IND),2026-2026,3,3,1,1,0.333
RA Jadeja (IND),2026-2026,3,3,1,1,0.333
J Jarvis (SCOT),2026-2026,3,3,1,1,0.333
NF Kelly (NZ),2026-2026,3,3,1,1,0.333
MB Kruger (NAM),2026-2026,4,3,1,1,0.333
MA Leask (SCOT),2026-2026,3,3,1,1,0.333
J Liyanage (SL),2026-2026,3,3,1,1,0.333
CM McBride (SCOT),2026-2026,3,3,1,1,0.333
FDW McCreath (SCOT),2026-2026,3,3,1,1,0.333
HG Munsey (SCOT),2026-2026,3,3,1,1,0.333
WP Myburgh (NAM),2026-2026,4,3,1,1,0.333
Nadeem Khan (OMA),2026-2026,3,3,1,1,0.333
W O'Rourke (NZ),2026-2026,3,3,1,1,0.333
J Overton (ENG),2026-2026,3,3,1,1,0.333
RG Sharma (IND),2026-2026,3,3,1,1,0.333
Shoriful Islam (BAN),2026-2026,3,3,1,1,0.333
NG Smith (NZ),2026-2026,3,3,1,1,0.333
L Steenkamp (NAM),2026-2026,4,3,1,1,0.333
JDF Vandersay (SL),2026-2026,3,3,1,1,0.333
MRJ Watt (SCOT),2026-2026,3,3,1,1,0.333
S Lamichhane (NEP),2026-2026,4,4,1,1,0.25
Mustafizur Rahman (BAN),2026-2026,4,4,1,1,0.25
AR Odedara (OMA),2026-2026,5,5,1,1,0.2
Rishad Hossain (BAN),2026-2026,5,5,1,1,0.2
Taskin Ahmed (BAN),2026-2026,5,5,1,1,0.2
Adeeb Usmani (UAE),2026-2026,4,0,0,0,0
B Bhandari (NEP),2026-2026,2,0,0,0,0
JC Buttler (ENG),2026-2026,3,0,0,0,0
MH Cross (SCOT),2026-2026,3,0,0,0,0
ZE Green (NAM),2026-2026,4,0,0,0,0
MJ Hay (NZ),2026-2026,3,0,0,0,0
TWM Latham (NZ),2026-2026,3,0,0,0,0
Litton Das (BAN),2026-2026,6,0,0,0,0
