Player,Span,Mat,Inns,Ct,Max,Ct/Inn
Shaheen Shah Afridi (PAK),2025-2025,12,12,5,1,0.416
J Liyanage (SL),2025-2025,13,13,5,1,0.384
S Kalyan (UAE),2025-2025,4,4,4,2,1
SPD Smith (AUS),2025-2025,5,5,4,3,0.8
Abdullah Shafique (PAK),2025-2025,6,6,4,1,0.666
A Balbirnie (IRE),2025-2025,6,6,4,2,0.666
JC Buttler (ENG),2025-2025,15,6,4,2,0.666
WG Jacks (ENG),2025-2025,6,6,4,1,0.666
Saif Hassan (BAN),2025-2025,6,6,4,2,0.666
Shivam Sharma (CAN),2025-2025,6,6,4,2,0.666
Rishad Hossain (BAN),2025-2025,7,7,4,2,0.571
Aarif Sheikh (NEP),2025-2025,8,8,4,2,0.5
K Bhurtel (NEP),2025-2025,8,8,4,2,0.5
J Overton (ENG),2025-2025,8,8,4,2,0.5
Saim Ayub (PAK),2025-2025,8,8,4,1,0.5
B Sharki (NEP),2025-2025,8,8,4,1,0.5
Shayan Jahangir (USA),2025-2025,8,8,4,1,0.5
Muhammad Waseem (UAE),2025-2025,9,9,4,1,0.444
A Sharafu (UAE),2025-2025,9,9,4,2,0.444
Abrar Ahmed (PAK),2025-2025,10,10,4,3,0.4
RA Jadeja (IND),2025-2025,10,10,4,1,0.4
SE Rutherford (WI),2025-2025,10,10,4,1,0.4
BA Carse (ENG),2025-2025,11,11,4,1,0.363
JA Duffy (NZ),2025-2025,11,11,4,2,0.363
SS Iyer (IND),2025-2025,11,11,4,1,0.363
JNT Seales (WI),2025-2025,12,11,4,3,0.363
BA King (WI),2025-2025,12,11,4,2,0.363
AR Patel (IND),2025-2025,11,11,4,1,0.363
JJ Smit (NAM),2025-2025,11,11,4,2,0.363
R Trumpelmann (NAM),2025-2025,11,11,4,3,0.363
AM Fernando (SL),2025-2025,12,12,4,2,0.333
KA Maharaj (SA),2025-2025,12,12,4,1,0.333
MJ Henry (NZ),2025-2025,13,13,4,1,0.307
W O'Rourke (NZ),2025-2025,14,14,4,1,0.285
JE Root (ENG),2025-2025,15,15,4,1,0.266
TL Seifert (NZ),2025-2025,1,1,3,3,3
MW Jones (SCOT),2025-2025,2,2,3,3,1.5
SK Patel (USA),2025-2025,12,2,3,3,1.5
N Peter (SA),2025-2025,2,2,3,3,1.5
W Barresi (NED),2025-2025,3,3,3,2,1
J Campbell (ZIM),2025-2025,3,3,3,2,1
D Ferreira (SA),2025-2025,3,3,3,1,1
RD Gaikwad (IND),2025-2025,3,3,3,2,1
MT Renshaw (AUS),2025-2025,3,3,3,3,1
AWJ Auguste (WI),2025-2025,4,4,3,3,0.75
Hashir Dafedar (OMA),2025-2025,4,4,3,1,0.75
T Lungameni (NAM),2025-2025,4,4,3,1,0.75
Mohammad Nadeem (OMA),2025-2025,4,4,3,2,0.75
BJ Currie (SCOT),2025-2025,5,5,3,2,0.6
KNM Fernando (SL),2025-2025,5,5,3,2,0.6
