Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Sediqullah Atal (AFG),2025-2025,6,6,0,147,85,24.5,206,71.35,0,1,0,13,3
Tanzid Hasan (BAN),2025-2025,7,7,0,145,62,20.71,149,97.31,0,1,1,19,3
Mohammad Nabi (AFG),2025-2025,6,6,2,144,62*,36,117,123.07,0,1,0,6,10
V Shukla (OMA),2025-2025,8,7,1,144,46,24,171,84.21,0,0,0,6,7
S Movva (CAN),2025-2025,9,8,2,144,60,24,258,55.81,0,1,0,6,4
T Stubbs (SA),2025-2025,7,7,0,143,74,20.42,185,77.29,0,2,3,6,2
LG Pretorius (SA),2025-2025,3,3,0,142,57,47.33,145,97.93,0,1,0,18,3
Soumya Sarkar (BAN),2025-2025,4,4,0,140,91,35,186,75.26,0,1,1,11,5
CR Ervine (ZIM),2025-2025,3,3,1,139,69*,69.5,130,106.92,0,2,0,8,7
Saad Bin Zafar (CAN),2025-2025,10,9,0,139,35,15.44,182,76.37,0,0,1,16,1
Naseem Shah (PAK),2025-2025,14,10,2,139,51,17.37,152,91.44,0,1,1,7,8
SPD Smith (AUS),2025-2025,5,5,1,138,73,34.5,175,78.85,0,1,0,13,2
R Trumpelmann (NAM),2025-2025,11,10,1,137,55,15.22,172,79.65,0,1,0,12,5
HH Pandya (IND),2025-2025,8,7,1,135,45,22.5,114,118.42,0,0,0,9,9
D Parashar (UAE),2025-2025,8,8,3,134,41,26.8,223,60.08,0,0,0,9,2
Mohammad Nawaz (PAK),2025-2025,7,5,2,132,59,44,143,92.3,0,1,0,10,7
JP Kotze (NAM),2025-2025,8,8,0,132,48,16.5,229,57.64,0,0,0,12,0
Muhammad Shahdad (UAE),2025-2025,3,3,0,131,96,43.66,220,59.54,0,1,0,9,3
MW Forde (WI),2025-2025,8,7,0,131,58,18.71,94,139.36,0,1,1,10,11
MRJ Watt (SCOT),2025-2025,11,9,4,131,60,26.2,153,85.62,0,1,2,6,7
Mohammad Nadeem (OMA),2025-2025,4,3,1,130,76*,65,182,71.42,0,1,0,9,2
Khushdil Shah (PAK),2025-2025,5,4,0,129,69,32.25,124,104.03,0,1,0,11,3
NR Kirton (CAN),2025-2025,8,7,0,129,46,18.42,174,74.13,0,0,0,10,3
BFW de Leede (NED),2025-2025,7,5,3,128,74,64,124,103.22,0,1,1,11,4
Faheem Ashraf (PAK),2025-2025,8,4,0,126,73,31.5,123,102.43,0,1,0,10,5
JC Archer (ENG),2025-2025,9,8,4,126,27*,31.5,104,121.15,0,0,1,15,4
Abdullah Shafique (PAK),2025-2025,6,6,0,125,36,20.83,197,63.45,0,0,1,13,2
M Gill (CAN),2025-2025,5,5,1,124,59,31,171,72.51,0,2,1,13,1
Tayyab Tahir (PAK),2025-2025,8,8,1,124,38,17.71,137,90.51,0,0,0,12,2
