Player,Ct Fi,Inns,Team,Opposition,Ground,Match Date,Scorecard
Mohammad Nawaz,3,2,Pakistan,v Bangladesh,Dubai (DICS),25-Sep-25,T20I   3471
LS Barkania,3,2,Tanzania,v Uganda,Harare,28-Sep-25,T20I   3479
K Bhurtel,3,2,Nepal,v West Indies,Sharjah,29-Sep-25,T20I   3483
AR Patwa,3,1,Tanzania,v Kenya,Harare,04-Oct-25,T20I   3501
F Mutua,3,2,Kenya,v Tanzania,Harare,04-Oct-25,T20I   3501
Basil Hameed,3,1,U.A.E.,v Qatar,Al Amerat,08-Oct-25,T20I   3506
JM Cox,3,2,England,v New Zealand,Christchurch,20-Oct-25,T20I   3532
Mohammad Nabi,3,1,Afghanistan,v Zimbabwe,Harare,31-Oct-25,T20I   3543
Scott Austin,3,1,Cyprus,v Bulgaria,Episkopi,02-Nov-25,T20I   3550
MW Forde,3,2,West Indies,v New Zealand,Auckland,05-Nov-25,T20I   3557
MS Chapman,3,2,New Zealand,v West Indies,Auckland,06-Nov-25,T20I   3560
JDS Neesham,3,1,New Zealand,v West Indies,Dunedin,13-Nov-25,T20I   3574
Shariq Munir,3,1,Qatar,v Hong Kong,Doha,13-Nov-25,T20I   3577
Muhamad Syahadat,3,1,Malaysia,v Bahrain,Kuala Lumpur,25-Nov-25,T20I   3588
Babar Azam,3,1,Pakistan,v Sri Lanka,Rawalpindi,29-Nov-25,T20I   3596
Tashi Phuntsho,3,1,Bhutan,v Bahrain,Gelephu,09-Dec-25,T20I   3619
Fiaz Ahmed,3,2,Bahrain,v Bhutan,Gelephu,09-Dec-25,T20I   3619
J Tuffin,3,1,Philippines,v Malaysia,Bangkok,09-Dec-25,T20I   3620
M Jansen,3,1,South Africa,v India,Cuttack,09-Dec-25,T20I   3623
Muhammad Amir,3,1,Malaysia,v Singapore,Bangkok,13-Dec-25,T20I   3639
GA Priandana,3,2,Indonesia,v Cambodia,Bali,23-Dec-25,T20I   3648
Md Shuayeb,3,2,Cambodia,v Indonesia,Bali,29-Dec-25,T20I   3658
P Nissanka,2,2,Sri Lanka,v New Zealand,Nelson,02-Jan-25,T20I   3081
K Nitish Kumar Reddy,2,1,India,v England,Eden Gardens,22-Jan-25,T20I   3082
NT Tilak Varma,2,1,India,v England,Chennai,25-Jan-25,T20I   3083
Abhishek Sharma,2,1,India,v England,Rajkot,28-Jan-25,T20I   3084
DC Jurel,2,1,India,v England,Rajkot,28-Jan-25,T20I   3084
JC Buttler,2,2,England,v India,Rajkot,28-Jan-25,T20I   3084
AU Rashid,2,2,England,v India,Rajkot,28-Jan-25,T20I   3084
PD Salt,2,2,England,v India,Rajkot,28-Jan-25,T20I   3084
JG Bethell,2,1,England,v India,Pune,31-Jan-25,T20I   3085
BA Carse,2,1,England,v India,Pune,31-Jan-25,T20I   3085
SA Yadav,2,2,India,v England,Pune,31-Jan-25,T20I   3085
JC Archer,2,1,England,v India,Wankhede,02-Feb-25,T20I   3086
