Player,Span,Mat,Inns,Ct,Max,Ct/Inn
BJ Bennett (ZIM),2024-2024,6,5,3,1,0.6
C Campher (IRE),2024-2024,5,5,3,1,0.6
BA Carse (ENG),2024-2024,5,5,3,2,0.6
C Green (AUS),2024-2024,5,5,3,2,0.6
HT Tector (IRE),2024-2024,5,5,3,2,0.6
JR Hazlewood (AUS),2024-2024,6,6,3,1,0.5
Pramod Madushan (SL),2024-2024,6,6,3,2,0.5
B Shikongo (NAM),2024-2024,6,6,3,1,0.5
DS Airee (NEP),2024-2024,8,7,3,2,0.428
Ayaan Khan (OMA),2024-2024,7,7,3,2,0.428
Fayyaz Butt (OMA),2024-2024,7,7,3,1,0.428
MW Forde (WI),2024-2024,7,7,3,2,0.428
Jatinder Singh (OMA),2024-2024,7,7,3,2,0.428
Tanzid Hasan (BAN),2024-2024,7,7,3,2,0.428
CR Ervine (ZIM),2024-2024,9,8,3,1,0.375
WG Jacks (ENG),2024-2024,8,8,3,1,0.375
SR Mukkamalla (USA),2024-2024,8,8,3,1,0.375
R Ngarava (ZIM),2024-2024,9,8,3,2,0.375
MD Patel (USA),2024-2024,12,8,3,2,0.375
Kamran Ghulam (PAK),2024-2024,9,9,3,1,0.333
M Levitt (NED),2024-2024,9,9,3,2,0.333
Mehidy Hasan Miraz (BAN),2024-2024,9,9,3,1,0.333
SE Rutherford (WI),2024-2024,9,9,3,1,0.333
B Sharki (NEP),2024-2024,10,10,3,1,0.3
Basil Hameed (UAE),2024-2024,11,11,3,2,0.272
D Madushanka (SL),2024-2024,11,11,3,1,0.272
A Dutt (NED),2024-2024,12,12,3,2,0.25
M Theekshana (SL),2024-2024,13,13,3,1,0.23
Azmatullah Omarzai (AFG),2024-2024,14,14,3,1,0.214
Hashmatullah Shahidi (AFG),2024-2024,14,14,3,1,0.214
Saad Bin Zafar (CAN),2024-2024,15,15,3,1,0.2
S Samarawickrama (SL),2024-2024,18,18,3,2,0.166
HM Nicholls (NZ),2024-2024,3,2,2,1,1
