Player,Dismissed,Ct Wk,St,Inns,Team,Opposition,Ground,Match Date,Scorecard
TWM Latham,2,2,0,1,New Zealand,v West Indies,Hamilton,22-Nov-25,ODI   4933
Q de Kock,2,2,0,1,South Africa,v India,Ranchi,30-Nov-25,ODI   4934
TWM Latham,1,1,0,1,New Zealand,v Sri Lanka,Auckland,11-Jan-25,ODI   4824
PD Salt,1,1,0,2,England,v India,Nagpur,06-Feb-25,ODI   4825
TWM Latham,1,1,0,1,New Zealand,v South Africa,Lahore,10-Feb-25,ODI   4829
SK Patel,1,1,0,2,U.S.A.,v Oman,Al Amerat,12-Feb-25,ODI   4832
K Verreynne,1,1,0,2,South Africa,v Pakistan,Karachi,12-Feb-25,ODI   4834
H Klaasen,1,1,0,2,South Africa,v Pakistan,Karachi,12-Feb-25,ODI   4834
ZE Green,1,1,0,1,Namibia,v U.S.A.,Al Amerat,14-Feb-25,ODI   4836
SK Patel,1,1,0,2,U.S.A.,v Namibia,Al Amerat,14-Feb-25,ODI   4836
V Shukla,1,0,1,1,Oman,v Namibia,Al Amerat,16-Feb-25,ODI   4839
LJ Tucker,1,1,0,1,Ireland,v Zimbabwe,Harare,16-Feb-25,ODI   4840
V Shukla,1,1,0,1,Oman,v U.S.A.,Al Amerat,18-Feb-25,ODI   4841
T Marumani,1,1,0,1,Zimbabwe,v Ireland,Harare,18-Feb-25,ODI   4842
Mohammad Rizwan,1,1,0,1,Pakistan,v New Zealand,Karachi,19-Feb-25,ODI   4843
TWM Latham,1,1,0,2,New Zealand,v Pakistan,Karachi,19-Feb-25,ODI   4843
KL Rahul,1,1,0,1,India,v Pakistan,Dubai (DICS),23-Feb-25,ODI   4847
Mohammad Rizwan,1,1,0,2,Pakistan,v India,Dubai (DICS),23-Feb-25,ODI   4847
Mushfiqur Rahim,1,1,0,2,Bangladesh,v New Zealand,Rawalpindi,24-Feb-25,ODI   4848
TWM Latham,1,1,0,1,New Zealand,v India,Dubai (DICS),02-Mar-25,ODI   4852
KL Rahul,1,0,1,2,India,v New Zealand,Dubai (DICS),02-Mar-25,ODI   4852
KL Rahul,1,1,0,1,India,v Australia,Dubai (DICS),04-Mar-25,ODI   4853
H Klaasen,1,1,0,1,South Africa,v New Zealand,Lahore,05-Mar-25,ODI   4855
TWM Latham,1,1,0,2,New Zealand,v South Africa,Lahore,05-Mar-25,ODI   4855
ZE Green,1,1,0,1,Namibia,v Canada,Windhoek,09-Mar-25,ODI   4857
TWM Latham,1,0,1,2,New Zealand,v India,Dubai (DICS),09-Mar-25,ODI   4858
SA Edwards,1,1,0,1,Netherlands,v Namibia,Windhoek,13-Mar-25,ODI   4859
MJ Hay,1,1,0,2,New Zealand,v Pakistan,Napier,29-Mar-25,ODI   4861
A Sharma,1,0,1,1,U.A.E.,v Netherlands,Amstelveen,06-May-25,ODI   4865
