Player,Dismissed,Ct Wk,St,Inns,Team,Opposition,Ground,Match Date,Scorecard
Usman Khan,2,2,0,1,Pakistan,v Netherlands,Colombo (SSC),07-Feb-26,T20I # 3684
TL Seifert,2,2,0,1,New Zealand,v Afghanistan,Chennai,08-Feb-26,T20I # 3687
Q de Kock,2,2,0,2,South Africa,v Canada,Ahmedabad,09-Feb-26,T20I # 3692
SA Edwards,2,1,1,1,Netherlands,v Namibia,Delhi,10-Feb-26,T20I # 3693
JP Inglis,2,1,1,2,Australia,v Ireland,Colombo (RPS),11-Feb-26,T20I # 3698
BKG Mendis,2,1,1,2,Sri Lanka,v Oman,Pallekele,12-Feb-26,T20I # 3701
SA Edwards,2,2,0,1,Netherlands,v U.S.A.,Chennai,13-Feb-26,T20I # 3707
P Kurup,2,2,0,1,Bahrain,v Qatar,Doha,14-Feb-26,T20I # 3710
Shayan Jahangir,2,2,0,2,U.S.A.,v Namibia,Chennai,15-Feb-26,T20I # 3713
Rahmanullah Gurbaz,2,2,0,1,Afghanistan,v U.A.E.,Delhi,16-Feb-26,T20I # 3716
JC Buttler,2,2,0,2,England,v Italy,Eden Gardens,16-Feb-26,T20I # 3717
SD Hope,2,2,0,2,West Indies,v Italy,Eden Gardens,19-Feb-26,T20I # 3724
Q de Kock,2,2,0,2,South Africa,v India,Ahmedabad,22-Feb-26,T20I # 3730
TL Seifert,2,0,2,2,New Zealand,v Sri Lanka,Colombo (RPS),25-Feb-26,T20I # 3736
Usman Patel,2,0,2,1,Kuwait,v Hong Kong,Mong Kok,26-Feb-26,T20I # 3738
TL Seifert,2,2,0,2,New Zealand,v England,Colombo (RPS),27-Feb-26,T20I # 3744
JC Buttler,2,0,2,1,England,v New Zealand,Colombo (RPS),27-Feb-26,T20I # 3744
P Kurup,2,0,2,1,Bahrain,v Japan,Bangkok,28-Feb-26,T20I # 3746
CV Anto,2,0,2,1,Kuwait,v Hong Kong,Mong Kok,01-Mar-26,T20I # 3748
SV Samson,2,2,0,1,India,v West Indies,Eden Gardens,01-Mar-26,T20I # 3750
P Kurup,2,2,0,1,Bahrain,v Malaysia,Kuala Lumpur,07-Mar-26,T20I # 3753
J Baker,2,2,0,1,Cayman,v Argentina,George Town,08-Mar-26,T20I # 3756
J Perry,2,2,0,1,Suriname,v Argentina,George Town,09-Mar-26,T20I # 3759
J Baker,2,0,2,1,Cayman,v Suriname,George Town,11-Mar-26,T20I # 3763
C Esterhuizen,2,2,0,1,South Africa,v New Zealand,Mount Maunganui,15-Mar-26,T20I # 3772
TWM Latham,2,1,1,2,New Zealand,v South Africa,Mount Maunganui,15-Mar-26,T20I # 3772
C Esterhuizen,2,2,0,1,South Africa,v New Zealand,Hamilton,17-Mar-26,T20I # 3777
TWM Latham,2,2,0,1,New Zealand,v South Africa,Auckland,20-Mar-26,T20I # 3778
C Esterhuizen,2,2,0,2,South Africa,v New Zealand,Wellington,22-Mar-26,T20I # 3779
F Baaleri,2,2,0,1,Ghana,v Seychelles,Accra,24-Mar-26,T20I # 3782
C Esterhuizen,2,2,0,2,South Africa,v New Zealand,Christchurch,25-Mar-26,T20I # 3783
SR Mohan,2,1,1,1,Seychelles,v St Helena,Accra,25-Mar-26,T20I # 3784
L Maximo,2,1,1,1,Brazil,v Mexico,Naucalpan,02-Apr-26,T20I # 3793
Khizer Ahmed,2,0,2,2,Norway,v France,Albergaria,05-Apr-26,T20I # 3799
L Canessane,2,1,1,1,France,v Portugal,Albergaria,06-Apr-26,T20I # 3803
Virk Ali,2,2,0,1,France,v Portugal,Albergaria,08-Apr-26,T20I # 3807
C Nunes,2,1,1,2,Portugal,v France,Albergaria,09-Apr-26,T20I # 3812
DK Kesuma,2,0,2,2,Indonesia,v Sweden,Bali,11-Apr-26,T20I # 3813
W Boshoff,2,1,1,2,Sweden,v Indonesia,Bali,11-Apr-26,T20I # 3814
DK Kesuma,2,2,0,1,Indonesia,v Sweden,Bali,11-Apr-26,T20I # 3814
JN Loftie-Eaton,2,2,0,1,Namibia,v Scotland,Windhoek,18-Apr-26,T20I # 3819
Adeshlie Alias,2,2,0,2,Malaysia,v Indonesia,Kuala Lumpur,02-May-26,T20I # 3826
Litton Das,2,2,0,2,Bangladesh,v New Zealand,Mirpur,02-May-26,T20I # 3827
Amar Naeem,2,1,1,1,Austria,v Germany,Krefeld,02-May-26,T20I # 3828
IDA Damarell,2,2,0,1,Guernsey,v Isle of Man,Castel,02-May-26,T20I # 3829
Amar Naeem,2,2,0,1,Austria,v Germany,Krefeld,02-May-26,T20I # 3830
IDA Damarell,2,1,1,2,Guernsey,v Isle of Man,Castel,03-May-26,T20I # 3832
C Pyle,2,0,2,1,Gibraltar,v Malta,Marsa,07-May-26,T20I # 3837
C Pyle,2,1,1,2,Gibraltar,v Malta,Marsa,08-May-26,T20I # 3841
Jordan O'Brien,2,1,1,1,Finland,v Cyprus,Episkopi,08-May-26,T20I # 3845
Eranga De Silva,2,1,1,2,Romania,v Bulgaria,Ilfov County,09-May-26,T20I # 3850
C Pyle,2,0,2,1,Gibraltar,v Malta,Marsa,09-May-26,T20I # 3853
BKG Mendis,1,0,1,2,Sri Lanka,v Pakistan,Dambulla,07-Jan-26,T20I # 3660
Khawaja Nafay,1,1,0,1,Pakistan,v Sri Lanka,Dambulla,11-Jan-26,T20I # 3661
Rahmanullah Gurbaz,1,1,0,2,Afghanistan,v West Indies,Dubai (DICS),19-Jan-26,T20I # 3662
SV Samson,1,1,0,2,India,v New Zealand,Nagpur,21-Jan-26,T20I # 3663
J Charles,1,1,0,2,West Indies,v Afghanistan,Dubai (DICS),22-Jan-26,T20I # 3665
LJ Tucker,1,1,0,1,Ireland,v Italy,Dubai,23-Jan-26,T20I # 3666
SV Samson,1,1,0,1,India,v New Zealand,Guwahati,25-Jan-26,T20I # 3669
TL Seifert,1,1,0,2,New Zealand,v India,Visakhapatnam,28-Jan-26,T20I # 3672
Q de Kock,1,1,0,1,South Africa,v West Indies,Centurion,29-Jan-26,T20I # 3675
JC Buttler,1,1,0,1,England,v Sri Lanka,Pallekele,30-Jan-26,T20I # 3676
A Sharma,1,1,0,1,U.A.E.,v Ireland,Dubai (DICS),31-Jan-26,T20I # 3677
TL Seifert,1,0,1,1,New Zealand,v India,Thiruvananthapuram,31-Jan-26,T20I # 3679
JR Philippe,1,1,0,1,Australia,v Pakistan,Lahore,01-Feb-26,T20I # 3681
Khawaja Nafay,1,0,1,2,Pakistan,v Australia,Lahore,01-Feb-26,T20I # 3681
BKG Mendis,1,1,0,2,Sri Lanka,v England,Pallekele,01-Feb-26,T20I # 3682
BKG Mendis,1,1,0,1,Sri Lanka,v England,Pallekele,03-Feb-26,T20I # 3683
Ishan Kishan,1,0,1,2,India,v U.S.A.,Wankhede,07-Feb-26,T20I # 3686
Aasif Sheikh,1,1,0,1,Nepal,v England,Wankhede,08-Feb-26,T20I # 3688
JC Buttler,1,1,0,2,England,v Nepal,Wankhede,08-Feb-26,T20I # 3688
BKG Mendis,1,0,1,2,Sri Lanka,v Ireland,Colombo (RPS),08-Feb-26,T20I # 3689
GP Meade,1,1,0,1,Italy,v Scotland,Eden Gardens,09-Feb-26,T20I # 3690
V Shukla,1,1,0,2,Oman,v Zimbabwe,Colombo (SSC),09-Feb-26,T20I # 3691
I Liyanage,1,1,0,1,Qatar,v Bahrain,Doha,10-Feb-26,T20I # 3695
AGS Gous,1,1,0,1,U.S.A.,v Pakistan,Colombo (SSC),10-Feb-26,T20I # 3696
LJ Tucker,1,1,0,1,Ireland,v Australia,Colombo (RPS),11-Feb-26,T20I # 3698
I Liyanage,1,1,0,2,Qatar,v Bahrain,Doha,11-Feb-26,T20I # 3699
GP Meade,1,0,1,1,Italy,v Nepal,Wankhede,12-Feb-26,T20I # 3702
