Player,Ct Fi,Inns,Team,Opposition,Ground,Match Date,Scorecard
JN Frylinck,3,2,Namibia,v Nepal,Kirtipur,27-Feb-24,T20I   2485
KIC Asalanka,3,2,Sri Lanka,v Bangladesh,Sylhet,04-Mar-24,T20I   2494
Ali Dawood,3,2,Bahrain,v Tanzania,Kuala Lumpur,09-Mar-24,T20I   2508
Soumya Sarkar,3,1,Bangladesh,v Sri Lanka,Sylhet,09-Mar-24,T20I   2509
EB Ringera,3,1,Kenya,v Uganda,Accra,17-Mar-24,T20I   2525
Anshuman Rath,3,1,Hong Kong,v Saudi Arabia,Al Amerat,14-Apr-24,T20I   2562
C Munoz-Mills,3,1,Spain,v Jersey,Cartagena,14-Apr-24,T20I   2563
Iftikhar Ahmed,3,1,Pakistan,v New Zealand,Lahore,25-Apr-24,T20I   2582
MG Bracewell,3,1,New Zealand,v Pakistan,Lahore,27-Apr-24,T20I   2583
B Ito-Davis,3,2,Japan,v Mongolia,Sano,08-May-24,T20I   2593
CB Sole,3,2,Scotland,v Netherlands,The Hague,22-May-24,T20I   2614
M Simpson-Parker,3,2,Austria,v Belgium,Lower Austria,26-May-24,T20I   2629
LV van Beek,3,1,Netherlands,v Nepal,Dallas,04-Jun-24,T20I   2638
LT Bichard,3,2,Guernsey,v Belgium,Waterloo,09-Jun-24,T20I   2654
MWR Stokes,3,1,Guernsey,v Belgium,Waterloo,09-Jun-24,T20I   2657
Wahidullah Sahak,3,2,Norway,v Finland,Kerava,14-Jun-24,T20I   2680
Ibrahim Rahimi,3,1,Norway,v Finland,Kerava,16-Jun-24,T20I   2693
Wahidullah Sahak,3,1,Norway,v Finland,Kerava,16-Jun-24,T20I   2693
AM Tribe,3,2,Jersey,v Denmark,Brondby,16-Jun-24,T20I   2694
DJ Mitchell,3,1,New Zealand,v P.N.G.,Tarouba,17-Jun-24,T20I   2702
Taranjit Singh,3,2,Cyprus,v Estonia,Episkopi,18-Jun-24,T20I   2704
A Paul,3,2,Estonia,v Cyprus,Episkopi,19-Jun-24,T20I   2707
RA Jadeja,3,2,India,v Afghanistan,Bridgetown,20-Jun-24,T20I   2710
B Ward,3,1,Jersey,v Guernsey,Castel,22-Jun-24,T20I   2715
Sami Sohail,3,2,Malawi,v Rwanda,Nairobi,28-Jun-24,T20I   2725
NK Aneesh Kumar,3,2,Switzerland,v Belgium,Krefeld,07-Jul-24,T20I   2740
Luka Woods,3,1,Serbia,v Croatia,Krefeld,10-Jul-24,T20I   2747
Tarun Sharma,3,1,Slovenia,v Gibraltar,Krefeld,10-Jul-24,T20I   2750
Luka Woods,3,1,Serbia,v Switzerland,Krefeld,11-Jul-24,T20I   2753
RK Singh,3,1,India,v Zimbabwe,Harare,13-Jul-24,T20I   2759
IO Okpe,3,2,Nigeria,v Kenya,Nairobi,17-Jul-24,T20I   2766
L Denny,3,1,Cook Islands,v Samoa,Apia (No 2),19-Aug-24,T20I   2777
A Mansale,3,1,Vanuatu,v Samoa,Apia (No 2),20-Aug-24,T20I   2779
Dylan Steyn,3,1,Czech Rep.,v Spain,Port Soif,22-Aug-24,T20I   2792
S Tabuisulu,3,2,Fiji,v Cook Islands,Apia (No 2),24-Aug-24,T20I   2798
CK Jasmat,3,2,Samoa,v Vanuatu,Apia (No 2),24-Aug-24,T20I   2799
D Visser,3,2,Samoa,v Vanuatu,Apia (No 2),24-Aug-24,T20I   2799
Zeeshan Khan,3,2,Malta,v Bulgaria,Castel,25-Aug-24,T20I   2806
R Klein,3,2,Netherlands,v U.S.A.,Utrecht,25-Aug-24,T20I   2808
C Munoz-Mills,3,1,Spain,v Greece,Port Soif,25-Aug-24,T20I   2810
Saad Bin Zafar,3,1,Canada,v U.S.A.,The Hague,27-Aug-24,T20I   2817
S Grover,3,2,Czech Rep.,v Greece,Castel,27-Aug-24,T20I   2818
Habib Khan,3,1,Estonia,v Malta,Port Soif,27-Aug-24,T20I   2819
Janak Prakash,3,1,Singapore,v Malaysia,Bangi,03-Sep-24,T20I   2837
Nizakat Khan,3,1,Hong Kong,v Malaysia,Kuala Lumpur,07-Sep-24,T20I   2845
MW Short,3,2,Australia,v England,Southampton,11-Sep-24,T20I   2850
AM Kimote,3,2,Tanzania,v Lesotho,Dar-es-Salaam,22-Sep-24,T20I   2857
DJ Hawoe,3,1,Indonesia,v South Korea,Incheon,28-Sep-24,T20I   2871
Kaleem Sana,3,2,Canada,v Nepal,King City (NW),28-Sep-24,T20I   2872
HH Pandya,3,2,India,v Bangladesh,Delhi,09-Oct-24,T20I   2899
D Gumyusenge,3,1,Rwanda,v Malawi,Blantyre,10-Oct-24,T20I   2900
Mahedi Hasan,3,1,Bangladesh,v India,Hyderabad,12-Oct-24,T20I   2904
R Parag,3,2,India,v Bangladesh,Hyderabad,12-Oct-24,T20I   2904
AK Sah,3,2,Nepal,v U.S.A.,Dallas,17-Oct-24,T20I   2910
FA Cossa,3,2,Mozambique,v Seychelles,Nairobi (Gym),22-Oct-24,T20I   2923
W Niyitanga,3,1,Rwanda,v Zimbabwe,Nairobi (Ruaraka),22-Oct-24,T20I   2926
Ibrahim Hassan,3,1,Maldives,v Bhutan,Gelephu,23-Oct-24,T20I   2929
Anjar Tadarus,3,2,Indonesia,v Myanmar,Bali,12-Nov-24,T20I   2944
J Fraser-McGurk,3,2,Australia,v Pakistan,Brisbane,14-Nov-24,T20I   2948
F Banunaek,3,2,Indonesia,v Myanmar,Bali,17-Nov-24,T20I   2957
K Piet,3,1,Botswana,v St Helena,Abuja,27-Nov-24,T20I   2989
Z Burgess,3,2,Bermuda,v Suriname,Buenos Aires,07-Dec-24,T20I   3014
T Tshose,3,1,Botswana,v Rwanda,Rwanda,08-Dec-24,T20I   3017
Irfan Khan,3,1,Pakistan,v South Africa,Durban,10-Dec-24,T20I   3026
Fiaz Ahmed,3,2,Bahrain,v Kuwait,ICCA Dubai,14-Dec-24,T20I   3048
Riazat Ali Shah,3,1,Uganda,v Nigeria,Rwanda,14-Dec-24,T20I   3051
Garret Banner,3,1,Belize,v Brazil,Buenos Aires,15-Dec-24,T20I   3058
Festus Benn,3,2,Bahamas,v Mexico,Buenos Aires,16-Dec-24,T20I   3066
Aryan Lakra,2,2,U.A.E.,v Afghanistan,Sharjah,02-Jan-24,T20I   2427
Muhammad Jawadullah,2,2,U.A.E.,v Afghanistan,Sharjah,02-Jan-24,T20I   2427
IS Sodhi,2,2,New Zealand,v Pakistan,Auckland,12-Jan-24,T20I   2429
IS Sodhi,2,2,New Zealand,v Pakistan,Hamilton,14-Jan-24,T20I   2430
TG Southee,2,2,New Zealand,v Pakistan,Hamilton,14-Jan-24,T20I   2430
Saim Ayub,2,1,Pakistan,v New Zealand,Dunedin,17-Jan-24,T20I   2434
GD Phillips,2,2,New Zealand,v Pakistan,Dunedin,17-Jan-24,T20I   2434
Mohammad Nabi,2,1,Afghanistan,v India,Bengaluru,17-Jan-24,T20I   2435
DM de Silva,2,1,Sri Lanka,v Zimbabwe,Colombo (RPS),18-Jan-24,T20I   2436
GD Phillips,2,1,New Zealand,v Pakistan,Christchurch,19-Jan-24,T20I   2437
