Player,Ct Fi,Inns,Team,Opposition,Ground,Match Date,Scorecard
AGS Gous,2,1,U.S.A.,v U.A.E.,Windhoek,18-Sep-24,ODI   4763
Ayaan Khan,2,1,Oman,v Nepal,King City (NW),18-Sep-24,ODI   4765
KH Prajapati,2,1,Oman,v Nepal,King City (NW),18-Sep-24,ODI   4765
Karan KC,2,2,Nepal,v Oman,King City (NW),18-Sep-24,ODI   4765
C Green,2,1,Australia,v England,Nottingham,19-Sep-24,ODI   4766
Basil Hameed,2,1,U.A.E.,v Namibia,Windhoek,20-Sep-24,ODI   4767
T Lungameni,2,2,Namibia,v U.A.E.,Windhoek,20-Sep-24,ODI   4767
Mohammad Nabi,2,2,Afghanistan,v South Africa,Sharjah,20-Sep-24,ODI   4768
MJ Potts,2,1,England,v Australia,Leeds,21-Sep-24,ODI   4770
OP Stone,2,1,England,v Australia,Leeds,21-Sep-24,ODI   4770
AM Hardie,2,2,Australia,v England,Leeds,21-Sep-24,ODI   4770
NS Dhaliwal,2,1,Canada,v Nepal,King City (NW),22-Sep-24,ODI   4773
BA Carse,2,1,England,v Australia,Chester-le-Street,24-Sep-24,ODI   4775
GJ Maxwell,2,2,Australia,v England,Chester-le-Street,24-Sep-24,ODI   4775
JN Loftie-Eaton,2,1,Namibia,v U.A.E.,Windhoek,26-Sep-24,ODI   4776
M Labuschagne,2,1,Australia,v England,Lord's,27-Sep-24,ODI   4778
LS Livingstone,2,2,England,v Australia,Lord's,27-Sep-24,ODI   4778
M Labuschagne,2,1,Australia,v England,Bristol,29-Sep-24,ODI   4779
HT Tector,2,1,Ireland,v South Africa,Abu Dhabi,02-Oct-24,ODI   4780
OEG Baartman,2,2,South Africa,v Ireland,Abu Dhabi,02-Oct-24,ODI   4780
Aarif Sheikh,2,1,Nepal,v Scotland,Dallas,29-Oct-24,ODI   4788
SP Krishnamurthi,2,1,U.S.A.,v Scotland,Dallas,31-Oct-24,ODI   4789
RD Berrington,2,2,Scotland,v U.S.A.,Dallas,31-Oct-24,ODI   4789
G Motie,2,1,West Indies,v England,North Sound,31-Oct-24,ODI   4790
DS Airee,2,1,Nepal,v U.S.A.,Dallas,02-Nov-24,ODI   4793
Gulsan Jha,2,1,Nepal,v U.S.A.,Dallas,02-Nov-24,ODI   4793
AK Sah,2,1,Nepal,v U.S.A.,Dallas,02-Nov-24,ODI   4793
Saim Ayub,2,2,Pakistan,v Australia,Melbourne,04-Nov-24,ODI   4795
Tanzid Hasan,2,1,Bangladesh,v Afghanistan,Sharjah,06-Nov-24,ODI   4798
E Lewis,2,1,West Indies,v England,Bridgetown,06-Nov-24,ODI   4799
Wasim Ali,2,1,Oman,v U.A.E.,Al Amerat,07-Nov-24,ODI   4800
Mohammad Nabi,2,1,Afghanistan,v Bangladesh,Sharjah,09-Nov-24,ODI   4803
Saim Ayub,2,1,Pakistan,v Australia,Perth,10-Nov-24,ODI   4804
MP O'Dowd,2,1,Netherlands,v Oman,Al Amerat,11-Nov-24,ODI   4805
Jatinder Singh,2,2,Oman,v Netherlands,Al Amerat,11-Nov-24,ODI   4805
Gulbadin Naib,2,1,Afghanistan,v Bangladesh,Sharjah,11-Nov-24,ODI   4806
WA Young,2,1,New Zealand,v Sri Lanka,Dambulla,13-Nov-24,ODI   4807
IS Sodhi,2,2,New Zealand,v Sri Lanka,Pallekele,17-Nov-24,ODI   4808
C Madande,2,1,Zimbabwe,v Pakistan,Bulawayo,28-Nov-24,ODI   4812
Abdullah Shafique,2,2,Pakistan,v Zimbabwe,Bulawayo,28-Nov-24,ODI   4812
BA King,2,1,West Indies,v Bangladesh,Basseterre,12-Dec-24,ODI   4815
Soumya Sarkar,2,2,Bangladesh,v West Indies,Basseterre,12-Dec-24,ODI   4815
R Ngarava,2,1,Zimbabwe,v Afghanistan,Harare,19-Dec-24,ODI   4818
AK Markram,2,1,South Africa,v Pakistan,Cape Town,19-Dec-24,ODI   4819
DA Miller,2,1,South Africa,v Pakistan,Cape Town,19-Dec-24,ODI   4819
Mohammad Nabi,2,1,Afghanistan,v Zimbabwe,Harare,21-Dec-24,ODI   4820
DA Miller,2,1,South Africa,v Pakistan,Johannesburg,22-Dec-24,ODI   4821
HE van der Dussen,2,1,South Africa,v Pakistan,Johannesburg,22-Dec-24,ODI   4821
Saim Ayub,2,2,Pakistan,v South Africa,Johannesburg,22-Dec-24,ODI   4821
CR Ervine,1,1,Zimbabwe,v Sri Lanka,Colombo (RPS),06-Jan-24,ODI   4718
M Faraz Akram,1,1,Zimbabwe,v Sri Lanka,Colombo (RPS),06-Jan-24,ODI   4718
Sikandar Raza,1,1,Zimbabwe,v Sri Lanka,Colombo (RPS),06-Jan-24,ODI   4718
SSD Arachchige,1,2,Sri Lanka,v Zimbabwe,Colombo (RPS),06-Jan-24,ODI   4718
SSD Arachchige,1,1,Sri Lanka,v Zimbabwe,Colombo (RPS),08-Jan-24,ODI   4719
J Liyanage,1,1,Sri Lanka,v Zimbabwe,Colombo (RPS),08-Jan-24,ODI   4719
S Samarawickrama,1,1,Sri Lanka,v Zimbabwe,Colombo (RPS),08-Jan-24,ODI   4719
RP Burl,1,2,Zimbabwe,v Sri Lanka,Colombo (RPS),08-Jan-24,ODI   4719
CR Ervine,1,2,Zimbabwe,v Sri Lanka,Colombo (RPS),08-Jan-24,ODI   4719
M Faraz Akram,1,2,Zimbabwe,v Sri Lanka,Colombo (RPS),08-Jan-24,ODI   4719
R Ngarava,1,2,Zimbabwe,v Sri Lanka,Colombo (RPS),08-Jan-24,ODI   4719
PVD Chameera,1,1,Sri Lanka,v Zimbabwe,Colombo (RPS),11-Jan-24,ODI   4720
