Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Syed Aziz (MAS),2025-2025,27,23,3,499,67,24.95,382,130.62,0,2,2,33,31
Towhid Hridoy (BAN),2025-2025,25,22,3,493,83*,25.94,423,116.54,0,2,2,28,14
I Danladi (NGA),2025-2025,21,19,2,490,64,28.82,480,102.08,0,4,0,42,8
Ahmer Bin (BHR),2025-2025,40,26,10,487,61*,30.43,350,139.14,0,2,0,30,27
JC Buttler (ENG),2025-2025,15,14,0,480,96,34.28,292,164.38,0,3,1,40,26
D Brevis (SA),2025-2025,17,17,2,464,125*,30.93,263,176.42,1,1,0,27,39
Abbas Ghani (HUN),2025-2025,16,16,0,459,66,28.68,286,160.48,0,5,2,46,22
H Lakov (BUL),2025-2025,11,11,2,458,78,50.88,346,132.36,0,3,0,42,12
Hasan Nawaz (PAK),2025-2025,25,24,2,457,105*,20.77,296,154.39,1,2,5,24,34
Walid Ghauri (NOR),2025-2025,14,14,2,455,100*,37.91,350,130,1,3,0,42,17
MR Marsh (AUS),2025-2025,16,14,2,454,103*,37.83,287,158.18,1,2,1,39,29
Ibrahim Zadran (AFG),2025-2025,14,14,1,453,65,34.84,375,120.8,0,5,0,44,11
YS Samra (CAN),2025-2025,16,15,3,442,63,36.83,275,160.72,0,3,0,39,27
PD Salt (ENG),2025-2025,12,11,1,434,141*,43.4,247,175.7,1,3,2,51,17
R Mazumder (CYP),2025-2025,10,10,4,433,80*,72.16,371,116.71,0,4,0,52,3
T Marumani (ZIM),2025-2025,19,19,1,432,74*,24,344,125.58,0,4,1,43,12
Mohammad Haris (PAK),2025-2025,26,25,2,429,107*,18.65,308,139.28,1,1,3,40,19
Arun Yadav (TAN),2025-2025,11,11,1,421,86,42.1,274,153.64,0,3,0,48,19
M Gogev (BUL),2025-2025,11,11,1,416,77*,41.6,254,163.77,0,4,0,35,29
Raghav Dhawan (UGA),2025-2025,11,11,2,414,56,46,377,109.81,0,3,0,30,11
D Ndikubwimana (RWN),2025-2025,16,16,1,411,82*,27.4,413,99.51,0,3,4,43,5
TB Robinson (NZ),2025-2025,15,12,3,402,106*,44.66,278,144.6,1,1,0,31,19
Ahmad Ramdoni (INA),2025-2025,34,25,5,399,46,19.95,416,95.91,0,0,2,29,16
TH David (AUS),2025-2025,14,10,2,395,102*,49.37,200,197.5,1,3,0,26,36
Aasif Sheikh (NEP),2025-2025,14,13,1,394,69,32.83,282,139.71,0,4,0,30,22
Abdul Waheed (KSA),2025-2025,12,12,0,393,82,32.75,276,142.39,0,3,0,38,15
DMW Rawlins (BER),2025-2025,13,12,2,393,77,39.3,288,136.45,0,3,1,22,25
Saif Hassan (BAN),2025-2025,16,15,2,391,69,30.07,305,128.19,0,3,1,18,29
BKG Mendis (SL),2025-2025,18,18,2,388,74*,24.25,314,123.56,0,2,2,37,10
Rahmanullah Gurbaz (AFG),2025-2025,14,14,0,384,92,27.42,281,136.65,0,1,0,33,18
Jaker Ali (BAN),2025-2025,26,23,6,378,55,22.23,305,123.93,0,1,1,21,19
Sediqullah Atal (AFG),2025-2025,13,13,2,374,73*,34,289,129.41,0,3,1,24,19
Imal Zuwak (SWE),2025-2025,11,11,1,373,70,37.3,304,122.69,0,3,1,41,8
Babar Hayat (HKG),2025-2025,21,21,3,370,67,20.55,324,114.19,0,2,1,19,21
V Ravindran (HUN),2025-2025,12,12,1,367,77,33.36,245,149.79,0,3,0,38,18
MD Patel (USA),2025-2025,9,6,1,365,104,73,223,163.67,1,3,0,33,13
Mohammad Nawaz (PAK),2025-2025,26,22,3,362,38*,19.05,262,138.16,0,0,3,24,21
A Limdawala (MWI),2025-2025,20,20,0,362,68,18.1,377,96.02,0,2,1,32,13
MDKJ Perera (SL),2025-2025,17,16,1,357,101,23.8,253,141.1,1,1,2,37,11
A Donovan (PHI),2025-2025,12,11,5,355,122*,59.16,211,168.24,1,1,1,25,22
Luqman Butt (CAM),2025-2025,17,13,1,355,75*,29.58,227,156.38,0,1,0,23,27
Luka Woods (SRB),2025-2025,5,5,2,342,112,114,210,162.85,1,3,0,26,17
Jatinder Singh (OMA),2025-2025,11,11,0,342,66,31.09,243,140.74,0,3,0,46,10
Faisal Khan (KSA),2025-2025,12,12,0,341,70,28.41,190,179.47,0,3,3,30,25
LA Dunbar (SRB),2025-2025,12,11,1,340,72,34,299,113.71,0,2,0,32,12
Shaheryar Butt (BEL),2025-2025,13,12,2,338,91,33.8,256,132.03,0,1,0,31,15
Manpreet Singh (SGP),2025-2025,16,15,0,337,48,22.46,254,132.67,0,0,3,20,13
K Mishara (SL),2025-2025,10,10,2,336,76,42,256,131.25,0,3,0,27,15
SI Runsewe (NGA),2025-2025,21,21,3,336,51*,18.66,342,98.24,0,1,1,34,6
Nizakat Khan (HKG),2025-2025,21,21,3,333,52*,18.5,313,106.38,0,2,1,23,12
Ahmed Faiz (MAS),2025-2025,22,17,3,332,84,23.71,267,124.34,0,2,1,22,14
Ahmed Hassan (SUI),2025-2025,13,13,1,331,59,27.58,259,127.79,0,1,0,20,21
R Chopra (UAE),2025-2025,21,20,3,330,62,19.41,298,110.73,0,2,2,20,15
Aslam Khan (MAS),2025-2025,18,15,1,328,77,23.42,187,175.4,0,1,0,37,23
RK Paudel (NEP),2025-2025,17,16,3,327,58,25.15,299,109.36,0,1,0,25,7
Shah Abrar Hussain (CAM),2025-2025,17,12,3,325,74*,36.11,289,112.45,0,1,1,20,18
R Powell (WI),2025-2025,16,15,3,321,79*,26.75,208,154.32,0,1,0,24,21
SA Okpe (NGA),2025-2025,21,19,3,321,44,20.06,293,109.55,0,0,1,22,7
JN Frylinck (NAM),2025-2025,9,9,1,320,134,40,165,193.93,1,1,1,39,12
Manan Bashir (BUL),2025-2025,10,10,3,317,70,45.28,119,266.38,0,1,0,13,38
M Levitt (NED),2025-2025,8,8,0,314,90,39.25,225,139.55,0,2,0,23,16
D Visser (Samoa),2025-2025,11,11,2,313,110*,34.77,248,126.2,2,0,1,44,6
Khizer Ahmed (NOR),2025-2025,16,16,1,313,64*,20.86,265,118.11,0,1,2,28,10
Razmal Shigiwal (AUT),2025-2025,16,14,3,311,65*,28.27,201,154.72,0,2,2,26,16
Junaid Aziz (BHR),2025-2025,39,21,8,310,48,23.84,292,106.16,0,0,0,11,18
R Ravindra (NZ),2025-2025,13,11,1,309,69,30.9,205,150.73,0,2,0,30,11
SR Mukkamalla (USA),2025-2025,9,9,3,308,100*,51.33,178,173.03,1,2,0,35,14
Ibrahim Rahimi (NOR),2025-2025,14,14,3,308,55*,28,182,169.23,0,1,1,12,31
IK Gamantika (INA),2025-2025,30,21,2,308,38,16.21,312,98.71,0,0,2,24,7
M Podosky (PHI),2025-2025,12,12,1,306,101,27.81,255,120,1,1,1,28,15
RR Patel (KENYA),2025-2025,11,11,1,306,65,30.6,265,115.47,0,3,1,28,9
HC Brook (ENG),2025-2025,13,12,2,305,78,30.5,183,166.66,0,2,1,25,16
HH Pandya (IND),2025-2025,15,12,3,302,63,33.55,197,153.29,0,3,0,22,18
Mehboob Ali (MLT),2025-2025,11,11,0,299,58,27.18,153,195.42,0,2,1,36,21
Hamza Khan (RWN),2025-2025,10,10,1,299,75,33.22,281,106.4,0,2,0,23,12
Asif Khan (UAE),2025-2025,16,16,4,298,77,24.83,191,156.02,0,1,1,17,24
DJ Mitchell (NZ),2025-2025,21,15,5,298,41,29.8,210,141.9,0,0,0,17,13
Muhammad Asim (QAT),2025-2025,14,14,2,298,53*,24.83,234,127.35,0,1,2,29,11
SY Nihute (MWI),2025-2025,20,18,3,298,56,19.86,332,89.75,0,1,1,19,4
BM Pecic (SRB),2025-2025,12,12,1,295,102,26.81,224,131.69,1,1,0,24,14
Shubman Gill (IND),2025-2025,15,15,3,291,47,24.25,212,137.26,0,0,1,38,4
Saber Zakhil (BEL),2025-2025,13,12,2,290,65,29,149,194.63,0,1,1,16,27
Muhammad Zohaib (UAE),2025-2025,15,15,1,289,50,20.64,278,103.95,0,1,0,28,7
Zahir Mohammed (HUN),2025-2025,18,17,0,288,85,16.94,188,153.19,0,2,3,19,20
M Gunasekara (CYP),2025-2025,9,9,1,287,70,35.87,208,137.98,0,3,0,20,21
I Niyomugabo (RWN),2025-2025,15,15,3,285,46,23.75,312,91.34,0,0,0,30,4
Mohammad Ihsan (ESP),2025-2025,3,3,1,283,160,141.5,128,221.09,2,0,0,11,27
Muhammad Haziq Aiman (MAS),2025-2025,12,11,0,282,113,25.63,158,178.48,1,0,2,26,20
MS Chapman (NZ),2025-2025,20,14,1,282,94,21.69,177,159.32,0,2,2,23,17
Muhammad Asim (Zamb),2025-2025,10,10,0,282,60,28.2,229,123.14,0,2,2,30,18
RL Chase (WI),2025-2025,17,13,2,281,60,25.54,215,130.69,0,2,1,24,8
Muhammad Usman (HUN),2025-2025,14,12,2,279,72*,27.9,169,165.08,0,1,1,11,25
Md Ariyan (ROM),2025-2025,16,13,3,278,90*,27.8,201,138.3,0,2,1,20,19
D Gumyusenge (RWN),2025-2025,18,17,1,277,68,17.31,254,109.05,0,2,6,23,12
MG Erasmus (NAM),2025-2025,12,10,1,276,58,30.66,224,123.21,0,2,0,22,8
Musaddiq Ahmed (GER),2025-2025,6,6,0,275,107,45.83,156,176.28,1,1,0,36,15
MP O'Dowd (NED),2025-2025,10,9,2,275,92*,39.28,201,136.81,0,2,1,30,5
V Shukla (OMA),2025-2025,14,13,3,275,51*,27.5,202,136.13,0,1,0,19,11
AP Yadav (THA),2025-2025,10,10,2,275,74,34.37,301,91.36,0,2,0,22,6
Shahzaib Jamil (QAT),2025-2025,17,14,2,274,44,22.83,204,134.31,0,0,0,14,21
MM Baig (QAT),2025-2025,14,13,4,274,60*,30.44,209,131.1,0,1,0,15,17
R Shepherd (WI),2025-2025,18,15,4,271,49,24.63,175,154.85,0,0,1,22,19
Zeeshan Kukikhel (HUN),2025-2025,12,12,1,271,65*,24.63,192,141.14,0,2,1,22,15
P Pushparajan (MLT),2025-2025,11,11,0,270,103,24.54,181,149.17,1,0,1,23,14
JV Chand (Zamb),2025-2025,10,10,2,268,47,33.5,252,106.34,0,0,0,23,6
DP Conway (NZ),2025-2025,12,10,2,267,59*,33.37,212,125.94,0,2,1,27,7
A Dizija (SRB),2025-2025,12,12,1,265,79*,24.09,211,125.59,0,2,0,26,11
Hammad Mirza (OMA),2025-2025,15,15,1,265,51,18.92,263,100.76,0,2,1,25,6
Taranjeet Singh (ROM),2025-2025,12,11,2,264,45,29.33,199,132.66,0,0,0,33,9
AS Samra (PHI),2025-2025,8,8,0,261,101,32.62,154,169.48,1,1,0,15,21
Shamim Hossain (BAN),2025-2025,25,21,4,261,48,15.35,215,121.39,0,0,3,24,9
MWR Stokes (GUE),2025-2025,9,8,4,260,73,65,202,128.71,0,3,0,25,2
CV Anto (KUW),2025-2025,8,8,0,259,72,32.37,172,150.58,0,1,0,20,18
C Green (AUS),2025-2025,8,8,2,258,56*,43,153,168.62,0,3,0,21,15
T Musekiwa (ZIM),2025-2025,25,23,9,257,28,18.35,190,135.26,0,0,2,20,7
JO Holder (WI),2025-2025,23,18,5,255,30*,19.61,171,149.12,0,0,2,16,19
H Thaker (CAN),2025-2025,15,11,4,255,53*,36.42,200,127.5,0,1,0,14,11
Ikramullah Khan (QAT),2025-2025,17,15,2,255,55,19.61,242,105.37,0,2,1,24,8
