Player,performance_score,marker_score,geopolitical_risk,IPL_select_probability
Suryakumar Yadav,553.51,3.18,0.15,1
Tilak Varma,715.01,4.19,0.15,1
Jasprit Bumrah,574.68,3.01,0.15,1
Trent Boult,658.03,3.29,0.15,1
Deepak Chahar,668.68,3.99,0.15,1
Ryan Rickelton,523.94,4.25,0.15,1
Will Jacks,837.83,4.17,0.15,1
Naman Dhir,760.05,3.4,0.15,1
Mitchell Santner,825.8,4.28,0.15,1
Karn Sharma,807.93,3.43,0.15,1
Robin Minz,689.16,3.59,0.15,1
Ashwani Kumar,818.75,4.34,0.15,1
Vignesh Puthur,485.4,4.17,0.15,1
Raj Bawa,528.39,4.53,0.15,1
Reece Topley,468.09,4.18,0.15,1
Mujeeb Ur Rahman,580.13,4.02,0.15,1
Ajinkya Rahane,605.47,3.17,0.15,1
Rinku Singh,558.54,3.66,0.15,1
Sunil Narine,781.5,3.48,0.15,1
Andre Russell,592.7,3.44,0.15,1
Varun Chakravarthy,562.37,4.75,0.15,1
Harshit Rana,667.08,3.71,0.15,1
Ramandeep Singh,506.37,4.61,0.15,1
Venkatesh Iyer,770.88,4.14,0.15,1
Quinton de Kock,479.82,4.43,0.15,1
Anrich Nortje,844.75,3.9,0.15,1
Spencer Johnson,758.9,4.04,0.15,1
Moeen Ali,529.49,3.89,0.15,1
Rahmanullah Gurbaz,452.21,3.35,0.15,1
Vaibhav Arora,776.18,4.3,0.15,1
Angkrish Raghuvanshi,732.74,3.51,0.15,1
Sanju Samson,741.6,3.04,0.15,1
Yashasvi Jaiswal,758.51,4.16,0.15,1
Riyan Parag,479.62,3.32,0.15,1
Dhruv Jurel,593.39,4.69,0.15,1
Shimron Hetmyer,496.35,4.72,0.15,1
Jofra Archer,795.24,4.65,0.15,1
Wanindu Hasaranga,699.32,3.67,0.15,1
Maheesh Theekshana,582.36,3.03,0.15,1
Sandeep Sharma,475.42,4.67,0.15,1
Akash Madhwal,574.39,3.77,0.15,1
Nitish Rana,580.07,4.74,0.15,1
Tushar Deshpande,741.84,4.73,0.15,1
Fazalhaq Farooqi,705.02,4.54,0.15,1
Kumar Kartikeya,804.89,3.53,0.15,1
Shubman Gill,638.89,3.69,0.15,1
Jos Buttler,497.84,4.53,0.15,1
Sai Sudharsan,735.3,3.57,0.15,1
Rahul Tewatia,754.31,3.31,0.15,1
Rashid Khan,674.51,4.0,0.15,1
Mohammed Siraj,758.39,4.69,0.15,1
Kagiso Rabada,647.52,4.25,0.15,1
Washington Sundar,659.09,4.03,0.15,1
Prasidh Krishna,621.02,3.17,0.15,1
Sherfane Rutherford,460.17,4.11,0.15,1
Glenn Phillips,493.16,4.78,0.15,1
Gerald Coetzee,462.57,3.25,0.15,1
Mahipal Lomror,704.56,3.93,0.15,1
Sai Kishore,575.74,4.58,0.15,1
Arshad Khan,653.43,4.33,0.15,1
Axar Patel,813.03,4.25,0.15,1
KL Rahul,549.72,4.26,0.15,1
Faf du Plessis,614.15,3.65,0.15,1
Tristan Stubbs,752.22,3.53,0.15,1
Mitchell Starc,541.52,4.46,0.15,1
Kuldeep Yadav,480.79,4.46,0.15,1
T Natarajan,565.9,4.56,0.15,1
Mukesh Kumar,514.49,4.64,0.15,1
Sameer Rizvi,821.88,3.92,0.15,1
Ashutosh Sharma,773.25,3.9,0.15,1
Jake Fraser-McGurk,703.36,4.44,0.15,1
Mohit Sharma,798.58,4.17,0.15,1
Karun Nair,771.47,4.26,0.15,1
Dushmantha Chameera,524.63,4.43,0.15,1
Donovan Ferreira,807.02,4.6,0.15,1
Shreyas Iyer,665.74,3.61,0.15,1
Marcus Stoinis,772.98,3.68,0.15,1
Glenn Maxwell,808.44,3.17,0.15,1
Arshdeep Singh,577.2,4.04,0.15,1
Yuzvendra Chahal,494.02,3.06,0.15,1
Marco Jansen,541.17,3.84,0.15,1
Nehal Wadhera,620.84,3.98,0.15,1
Priyansh Arya,777.21,3.52,0.15,1
Prabhsimran Singh,794.29,4.06,0.15,1
Josh Inglis,452.78,3.05,0.15,1
Azmatullah Omarzai,654.3,3.07,0.15,1
Xavier Bartlett,616.96,4.48,0.15,1
Harpreet Brar,538.84,3.65,0.15,1
Vijaykumar Vyshak,497.95,3.23,0.15,1
Rishabh Pant,585.05,3.94,0.15,1
Nicholas Pooran,827.16,4.39,0.15,1
Aiden Markram,579.28,3.39,0.15,1
Mitchell Marsh,657.52,4.12,0.15,1
David Miller,731.21,3.15,0.15,1
Abdul Samad,595.45,3.09,0.15,1
Ravi Bishnoi,838.71,3.96,0.15,1
Avesh Khan,834.98,3.97,0.15,1
Akash Deep,550.71,4.15,0.15,1
Shardul Thakur,648.9,4.31,0.15,1
Digvesh Rathi,570.35,4.76,0.15,1
Prince Yadav,563.94,3.93,0.15,1
Ayush Badoni,464.75,3.58,0.15,1
Shahbaz Ahmed,693.83,4.43,0.15,1
Pat Cummins,651.07,3.49,0.15,1
Travis Head,470.59,3.79,0.15,1
Abhishek Sharma,561.46,3.14,0.15,1
Heinrich Klaasen,813.31,3.05,0.15,1
Ishan Kishan,545.82,4.73,0.15,1
Mohammed Shami,507.96,4.5,0.15,1
Harshal Patel,645.78,4.25,0.15,1
Adam Zampa,844.26,3.74,0.15,1
Rahul Chahar,546.82,3.31,0.15,1
Nitish Kumar Reddy,718.85,3.28,0.15,1
Simarjeet Singh,754.65,3.45,0.15,1
Zeeshan Ansari,545.06,3.99,0.15,1
Wiaan Mulder,741.29,4.29,0.15,1
Kamindu Mendis,597.11,4.19,0.15,1
Eshan Malinga,702.92,3.5,0.15,1
Usman Khawaja,367.36,1.12,0.37,0
James Vince,306.61,1.54,0.57,0
Dasun Shanaka,255.22,2.44,0.53,0
Tabraiz Shamsi,271.28,1.04,0.71,0
Sheldon Cottrell,217.49,2.38,0.49,0
Chris Jordan,169.36,1.48,0.4,0
Dawid Malan,199.67,1.2,0.41,0
Martin Guptill,312.2,2.18,0.65,0
Wayne Parnell,104.03,2.07,0.6,0
Odean Smith,132.5,2.49,0.39,0
Colin de Grandhomme,112.88,2.25,0.38,0
Carlos Brathwaite,111.4,2.37,0.63,0
Litton Das (Unsold),339.53,1.48,0.38,0
Angelo Mathews,297.02,1.3,0.68,0
Kusal Perera,232.77,2.28,0.63,0
Taskin Ahmed,127.39,2.37,0.38,0
Sandeep Lamichhane,237.65,2.68,0.38,0
Daryl Mitchell (Unsold),232.57,1.7,0.74,0
Matt Henry,148.5,1.63,0.5,0
Ish Sodhi,221.48,2.32,0.5,0
Rilee Rossouw,211.58,1.58,0.68,0
Jason Roy,272.44,2.58,0.73,0
Adil Rashid,277.83,2.46,0.74,0
Ben McDermott,112.69,1.73,0.65,0
Lusaka Fernando,204.89,2.28,0.5,0
Avishka Fernando,275.24,2.28,0.38,0
Charith Asalanka,240.88,1.18,0.66,0
Dhananjaya de Silva,339.82,2.53,0.57,0
Akila Dananjaya,284.43,1.86,0.52,0
Kusal Mendis,145.62,2.4,0.71,0
Pathum Nissanka,119.76,1.54,0.39,0
Dinesh Chandimal,279.88,2.52,0.55,0
Bhanuka Rajapaksa,107.42,1.66,0.35,0
Wanindu Hasaranga (Unsold),264.02,1.02,0.54,0
Lahiru Kumara,363.26,2.54,0.37,0
Kasun Rajitha,261.13,1.16,0.4,0
Dilshan Madushanka,208.69,1.54,0.4,0
Matheesha Pathirana (Unsold),280.12,2.62,0.61,0
Praveen Jayawickrama,228.31,2.62,0.65,0
Maheesh Theekshana (Unsold),252.77,1.97,0.58,0
Dunith Wellalage,363.61,2.07,0.73,0
Sahan Arachchige,208.11,1.76,0.5,0
Chamika Karunaratne,369.13,1.5,0.46,0
Asitha Fernando,353.5,1.56,0.7,0
Binura Fernando,154.82,2.14,0.44,0
Pramod Madushan,119.42,2.28,0.74,0
Nuwanidu Fernando,128.22,2.35,0.35,0
Janith Liyanage,105.1,2.34,0.74,0
Vijayakanth Viyaskanth,126.44,1.16,0.37,0
Nishan Madushka,291.24,1.84,0.71,0
